sale_id,store_id,product_id,date,quantity,unit_price
SL00043,ST06,PD032,2024-08-13,11,3341
SL00044,ST03,PD015,2024-08-16,8,691
SL00045,ST05,PD019,2024-08-01,8,1711
SL00046,ST06,PD034,2024-05-29,6,492
SL00047,ST04,PD009,2024-04-30,12,5020
SL00048,ST06,PD016,2024-11-20,11,1467
SL00049,ST06,PD007,2024-09-21,9,6571
SL00050,ST03,PD007,2024-07-31,8,6571
SL00051,ST03,PD021,2024-03-02,4,1492
SL00052,ST03,PD022,2024-11-17,11,4319
SL00053,ST03,PD023,2024-12-04,8,2300
SL00054,ST04,PD039,2024-11-22,1,2854
SL00055,ST05,PD030,2024-02-01,8,1814
SL00056,ST06,PD029,2024-01-29,5,29306
SL00057,ST06,PD041,2024-07-10,6,2034
SL00058,ST01,PD014,2024-01-11,2,412
SL00059,ST02,PD032,2024-02-23,5,3341
SL00060,ST02,PD007,2024-08-29,3,6571
SL00061,ST05,PD023,2024-03-30,2,2300
SL00062,ST02,PD041,2024-10-21,11,2034
SL00063,ST03,PD036,2024-07-14,8,2507
SL00064,ST03,PD009,2024-01-27,6,5020
SL00065,ST03,PD024,2024-11-26,11,26387
SL00066,ST03,PD011,2024-02-23,8,492
SL00067,ST03,PD031,2024-11-20,9,4109
SL00068,ST04,PD023,2024-06-13,3,2300
SL00069,ST03,PD026,2024-03-20,12,10576
SL00070,ST02,PD018,2024-08-12,5,5356
SL00071,ST05,PD010,2024-03-10,3,6383
SL00072,ST02,PD002,2024-03-06,1,4529
SL00073,ST01,PD018,2024-01-02,7,5356
SL00074,ST05,PD019,2024-07-26,1,1711
SL00075,ST02,PD030,2024-07-11,6,1814
SL00076,ST06,PD011,2024-02-01,11,492
SL00077,ST06,PD007,2024-05-22,9,6571
SL00078,ST04,PD030,2024-01-25,10,1814
SL00079,ST04,PD027,2024-04-28,8,15892
SL00080,ST03,PD011,2024-01-18,1,492
SL00081,ST02,PD037,2024-03-23,2,2709
SL00082,ST03,PD037,2024-07-18,12,2709
SL00083,ST02,PD040,2024-04-01,1,460
SL00084,ST06,PD024,2024-01-01,7,26387
SL00085,ST01,PD023,2024-07-22,10,2300
SL00086,ST06,PD025,2024-02-28,11,16385
SL00087,ST05,PD022,2024-09-23,5,4319
SL00088,ST06,PD018,2024-06-28,3,5356
SL00089,ST04,PD014,2024-05-08,10,412
SL00090,ST01,PD017,2024-02-22,12,5732
SL00091,ST01,PD002,2024-12-12,3,4529
SL00092,ST05,PD003,2024-10-18,7,6235
SL00093,ST04,PD032,2024-01-18,5,3341
SL00094,ST04,PD004,2024-03-14,4,4324
SL00095,ST01,PD012,2024-07-04,2,655
SL00096,ST03,PD030,2024-03-04,10,1814
SL00097,ST04,PD025,2024-10-29,3,16385
SL00098,ST04,PD037,2024-01-15,6,2709
SL00099,ST04,PD034,2024-06-30,4,492
SL00100,ST03,PD006,2024-12-13,4,5275
SL00101,ST02,PD018,2024-04-01,1,5356
SL00102,ST01,PD032,2024-05-26,4,3341
SL00103,ST06,PD006,2024-01-24,8,5275
SL00104,ST02,PD030,2024-03-25,3,1814
SL00105,ST04,PD036,2024-05-09,10,2507
SL00106,ST03,PD039,2024-09-16,10,2854
SL00107,ST06,PD013,2024-07-23,8,432
SL00108,ST02,PD019,2024-10-03,12,1711
SL00109,ST01,PD026,2024-02-12,8,10576
SL00110,ST06,PD026,2024-11-24,8,10576
SL00111,ST04,PD034,2024-04-19,9,492
SL00112,ST01,PD034,2024-03-01,2,492
SL00113,ST02,PD005,2024-01-17,11,912
SL00114,ST02,PD023,2024-12-17,10,2300
SL00115,ST02,PD010,2024-09-28,4,6383
SL00116,ST02,PD024,2024-03-16,4,26387
SL00117,ST04,PD030,2024-06-20,1,1814
SL00118,ST03,PD018,2024-09-25,1,5356
SL00119,ST06,PD026,2024-05-03,11,10576
SL00120,ST03,PD012,2024-05-22,9,655
SL00121,ST04,PD040,2024-10-08,5,460
SL00122,ST01,PD027,2024-05-22,2,15892
SL00123,ST04,PD011,2024-02-23,7,492
SL00124,ST03,PD024,2024-11-19,5,26387
SL00125,ST04,PD009,2024-10-26,4,5020
SL00126,ST06,PD013,2024-10-28,10,432
SL00127,ST01,PD031,2024-03-08,2,4109
SL00128,ST06,PD020,2024-07-14,2,5655
SL00129,ST05,PD025,2024-01-18,5,16385
SL00130,ST06,PD031,2024-07-13,2,4109
SL00131,ST02,PD004,2024-11-08,7,4324
SL00132,ST03,PD024,2024-05-30,2,26387
SL00133,ST06,PD038,2024-01-23,5,952
SL00134,ST04,PD013,2024-08-26,1,432
SL00135,ST05,PD011,2024-12-04,7,492
SL00136,ST01,PD030,2024-06-18,1,1814
SL00137,ST03,PD014,2024-07-30,3,412
SL00138,ST04,PD016,2024-04-05,5,1467
SL00139,ST06,PD026,2024-05-17,6,10576
SL00140,ST01,PD026,2024-05-30,9,10576
SL00141,ST01,PD023,2024-02-13,10,2300
SL00142,ST01,PD038,2024-07-26,6,952
SL00143,ST06,PD026,2024-04-30,3,10576
SL00144,ST06,PD012,2024-07-25,8,655
SL00145,ST01,PD039,2024-02-29,2,2854
SL00146,ST05,PD032,2024-06-21,2,3341
SL00147,ST03,PD012,2024-11-04,12,655
SL00148,ST06,PD011,2024-08-20,3,492
SL00149,ST01,PD038,2024-07-26,10,952
SL00150,ST02,PD019,2024-03-15,3,1711
SL00151,ST02,PD039,2024-06-27,4,2854
SL00152,ST03,PD035,2024-02-06,9,3801
SL00153,ST03,PD029,2024-09-01,7,29306
SL00154,ST04,PD006,2024-07-26,6,5275
SL00155,ST02,PD032,2024-03-22,11,3341
SL00156,ST03,PD017,2024-09-23,9,5732
SL00157,ST04,PD016,2024-08-09,1,1467
SL00158,ST05,PD032,2024-10-13,4,3341
SL00159,ST06,PD016,2024-05-24,1,1467
SL00160,ST02,PD033,2024-04-09,8,1390
SL00161,ST02,PD033,2024-07-19,11,1390
SL00162,ST03,PD008,2024-11-20,10,3556
SL00163,ST04,PD012,2024-07-31,9,655
SL00164,ST04,PD026,2024-11-25,9,10576
SL00165,ST05,PD002,2024-01-12,8,4529
SL00166,ST03,PD038,2024-08-01,6,952
SL00167,ST01,PD016,2024-01-13,1,1467
SL00168,ST02,PD012,2024-09-05,6,655
SL00169,ST05,PD001,2024-04-13,12,3754
SL00170,ST06,PD027,2024-01-09,5,15892
SL00171,ST01,PD031,2024-11-12,3,4109
SL00172,ST01,PD036,2024-04-30,4,2507
SL00173,ST01,PD029,2024-05-15,3,29306
SL00174,ST02,PD008,2024-08-29,5,3556
SL00175,ST02,PD029,2024-09-12,10,29306
SL00176,ST05,PD015,2024-03-30,11,691
SL00177,ST06,PD010,2024-07-27,12,6383
SL00178,ST05,PD033,2024-05-22,10,1390
SL00179,ST03,PD021,2024-03-21,8,1492
SL00180,ST06,PD027,2024-03-05,10,15892
SL00181,ST06,PD016,2024-05-06,7,1467
SL00182,ST05,PD037,2024-04-19,3,2709
SL00183,ST01,PD020,2024-12-13,8,5655
SL00184,ST05,PD012,2024-02-13,10,655
SL00185,ST05,PD023,2024-09-14,2,2300
SL00186,ST06,PD041,2024-08-01,2,2034
SL00187,ST01,PD033,2024-10-28,9,1390
SL00188,ST05,PD002,2024-09-30,9,4529
SL00189,ST03,PD004,2024-01-10,10,4324
SL00190,ST02,PD014,2024-07-20,12,412
SL00191,ST04,PD012,2024-03-16,5,655
SL00192,ST03,PD020,2024-03-06,3,5655
SL00193,ST03,PD031,2024-11-04,5,4109
SL00194,ST04,PD009,2024-09-07,4,5020
SL00195,ST06,PD009,2024-12-26,12,5020
SL00196,ST02,PD031,2024-04-04,3,4109
SL00197,ST03,PD007,2024-06-27,4,6571
SL00198,ST03,PD010,2024-01-26,2,6383
SL00199,ST05,PD026,2024-10-23,4,10576
SL00200,ST05,PD012,2024-08-14,5,655
SL00201,ST01,PD024,2024-02-13,12,26387
SL00202,ST03,PD026,2024-12-25,2,10576
SL00203,ST01,PD028,2024-10-06,7,8913
SL00204,ST03,PD012,2024-10-30,6,655
SL00205,ST02,PD007,2024-04-12,10,6571
SL00206,ST04,PD028,2024-01-03,12,8913
SL00207,ST04,PD022,2024-06-14,3,4319
SL00208,ST04,PD037,2024-07-21,12,2709
SL00209,ST04,PD020,2024-02-03,11,5655
SL00210,ST05,PD006,2024-02-13,4,5275
SL00211,ST06,PD009,2024-01-02,8,5020
SL00212,ST02,PD010,2024-10-20,2,6383
SL00213,ST06,PD038,2024-02-14,9,952
SL00214,ST04,PD017,2024-06-17,6,5732
SL00215,ST04,PD004,2024-04-21,7,4324
SL00216,ST06,PD038,2024-12-06,9,952
SL00217,ST01,PD022,2024-07-12,8,4319
SL00218,ST06,PD027,2024-07-03,6,15892
SL00219,ST05,PD040,2024-10-24,2,460
SL00220,ST04,PD039,2024-07-30,10,2854
SL00221,ST04,PD029,2024-02-01,12,29306
SL00222,ST02,PD012,2024-04-11,7,655
SL00223,ST03,PD018,2024-10-19,12,5356
SL00224,ST03,PD037,2024-12-17,2,2709
SL00225,ST02,PD019,2024-08-18,11,1711
SL00226,ST06,PD001,2024-05-17,4,3754
SL00227,ST02,PD017,2024-05-31,10,5732
SL00228,ST04,PD007,2024-03-20,7,6571
SL00229,ST01,PD013,2024-09-11,8,432
SL00230,ST03,PD031,2024-12-28,5,4109
SL00231,ST02,PD010,2024-03-15,2,6383
SL00232,ST06,PD012,2024-06-03,3,655
SL00233,ST06,PD007,2024-10-29,8,6571
SL00234,ST05,PD013,2024-02-17,11,432
SL00235,ST01,PD037,2024-04-29,5,2709
SL00236,ST02,PD029,2024-02-23,8,29306
SL00237,ST01,PD021,2024-01-17,11,1492
SL00238,ST05,PD012,2024-07-06,9,655
SL00239,ST06,PD016,2024-10-13,6,1467
SL00240,ST05,PD001,2024-04-15,4,3754
SL00241,ST04,PD011,2024-02-21,1,492
SL00242,ST03,PD020,2024-04-16,12,5655
SL00243,ST01,PD021,2024-04-21,6,1492
SL00244,ST06,PD028,2024-04-13,11,8913
SL00245,ST02,PD019,2024-02-03,12,1711
SL00246,ST01,PD029,2024-11-05,11,29306
SL00247,ST01,PD041,2024-07-13,4,2034
SL00248,ST03,PD013,2024-05-13,8,432
SL00249,ST01,PD041,2024-12-25,6,2034
SL00250,ST02,PD017,2024-05-04,11,5732
SL00251,ST05,PD041,2024-03-26,6,2034
SL00252,ST01,PD020,2024-09-05,7,5655
SL00253,ST05,PD035,2024-03-13,12,3801
SL00254,ST01,PD010,2024-07-22,9,6383
SL00255,ST05,PD009,2024-11-26,10,5020
SL00256,ST03,PD017,2024-10-09,12,5732
SL00257,ST02,PD003,2024-09-19,5,6235
SL00258,ST04,PD023,2024-03-01,11,2300
SL00259,ST04,PD036,2024-10-20,11,2507
SL00260,ST05,PD007,2024-12-05,11,6571
SL00261,ST01,PD033,2024-08-06,12,1390
SL00262,ST03,PD012,2024-05-30,10,655
SL00263,ST02,PD039,2024-02-24,5,2854
SL00264,ST02,PD021,2024-08-02,6,1492
SL00265,ST02,PD007,2024-04-21,9,6571
SL00266,ST01,PD028,2024-04-24,7,8913
SL00267,ST06,PD030,2024-05-28,7,1814
SL00268,ST04,PD006,2024-02-21,7,5275
SL00269,ST03,PD001,2024-05-19,4,3754
SL00270,ST04,PD015,2024-12-15,1,691
SL00271,ST06,PD031,2024-12-21,4,4109
SL00272,ST04,PD025,2024-02-10,3,16385
SL00273,ST06,PD032,2024-05-12,8,3341
SL00274,ST04,PD001,2024-11-06,6,3754
SL00275,ST01,PD016,2024-03-30,2,1467
SL00276,ST05,PD030,2024-10-31,5,1814
SL00277,ST06,PD001,2024-12-17,7,3754
SL00278,ST04,PD040,2024-03-12,10,460
SL00279,ST04,PD028,2024-03-13,1,8913
SL00280,ST01,PD018,2024-10-10,7,5356
SL00281,ST05,PD011,2024-04-10,2,492
SL00282,ST01,PD040,2024-11-26,7,460
SL00283,ST05,PD029,2024-11-19,8,29306
SL00284,ST06,PD021,2024-12-19,9,1492
SL00285,ST06,PD025,2024-05-12,8,16385
SL00286,ST01,PD017,2024-02-29,10,5732
SL00287,ST06,PD010,2024-07-05,6,6383
SL00288,ST01,PD016,2024-08-19,6,1467
SL00289,ST01,PD021,2024-05-13,7,1492
SL00290,ST04,PD007,2024-02-27,5,6571
SL00291,ST05,PD015,2024-05-19,1,691
SL00292,ST05,PD015,2024-08-26,3,691
SL00293,ST04,PD025,2024-06-21,5,16385
SL00294,ST04,PD023,2024-08-02,10,2300
SL00295,ST01,PD041,2024-10-24,5,2034
SL00296,ST03,PD006,2024-03-07,6,5275
SL00297,ST05,PD004,2024-06-29,7,4324
SL00298,ST04,PD013,2024-12-12,12,432
SL00299,ST02,PD004,2024-09-17,6,4324
SL00300,ST02,PD021,2024-09-16,9,1492
SL00301,ST02,PD012,2024-02-29,4,655
SL00302,ST05,PD010,2024-11-13,7,6383
SL00303,ST05,PD032,2024-04-20,5,3341
SL00304,ST03,PD013,2024-10-01,12,432
SL00305,ST05,PD024,2024-10-23,2,26387
SL00306,ST04,PD039,2024-08-26,7,2854
SL00307,ST05,PD016,2024-07-04,9,1467
SL00308,ST06,PD026,2024-12-02,10,10576
SL00309,ST02,PD010,2024-06-20,12,6383
SL00310,ST02,PD018,2024-09-06,12,5356
SL00311,ST02,PD027,2024-08-03,7,15892
SL00312,ST05,PD012,2024-09-11,2,655
SL00313,ST04,PD005,2024-02-29,7,912
SL00314,ST02,PD024,2024-11-22,6,26387
SL00315,ST03,PD039,2024-06-26,4,2854
SL00316,ST03,PD039,2024-07-08,1,2854
SL00317,ST06,PD028,2024-10-17,9,8913
SL00318,ST03,PD040,2024-09-14,11,460
SL00319,ST05,PD009,2024-05-14,9,5020
SL00320,ST02,PD027,2024-02-01,10,15892
SL00321,ST06,PD037,2024-08-24,12,2709
SL00322,ST05,PD010,2024-06-19,6,6383
SL00323,ST03,PD041,2024-03-03,8,2034
SL00324,ST02,PD038,2024-12-24,10,952
SL00325,ST02,PD020,2024-02-13,5,5655
SL00326,ST06,PD037,2024-03-01,5,2709
SL00327,ST01,PD011,2024-07-01,5,492
SL00328,ST06,PD020,2024-01-17,10,5655
SL00329,ST04,PD026,2024-07-18,3,10576
SL00330,ST02,PD020,2024-10-08,6,5655
SL00331,ST03,PD032,2024-01-17,5,3341
SL00332,ST03,PD002,2024-03-22,12,4529
SL00333,ST06,PD032,2024-12-19,8,3341
SL00334,ST02,PD002,2024-07-07,5,4529
SL00335,ST04,PD030,2024-07-13,4,1814
SL00336,ST04,PD004,2024-12-03,8,4324
SL00337,ST05,PD037,2024-09-07,6,2709
SL00338,ST06,PD005,2024-11-26,1,912
SL00339,ST01,PD038,2024-07-21,12,952
SL00340,ST01,PD023,2024-11-14,5,2300
SL00341,ST04,PD002,2024-03-27,4,4529
SL00342,ST04,PD018,2024-02-22,6,5356
SL00343,ST03,PD003,2024-03-01,12,6235
SL00344,ST04,PD005,2024-01-26,9,912
SL00345,ST05,PD010,2024-03-18,3,6383
SL00346,ST05,PD004,2024-03-14,6,4324
SL00347,ST06,PD006,2024-04-17,10,5275
SL00348,ST01,PD002,2024-04-01,10,4529
SL00349,ST01,PD023,2024-02-02,12,2300
SL00350,ST03,PD006,2024-08-13,5,5275
SL00351,ST02,PD029,2024-11-11,10,29306
SL00352,ST06,PD004,2024-06-26,6,4324
SL00353,ST02,PD021,2024-05-03,8,1492
SL00354,ST02,PD033,2024-12-21,10,1390
SL00355,ST03,PD002,2024-11-09,8,4529
SL00356,ST04,PD023,2024-12-25,5,2300
SL00357,ST04,PD021,2024-10-05,5,1492
SL00358,ST02,PD019,2024-07-14,4,1711
SL00359,ST02,PD013,2024-05-05,11,432
SL00360,ST05,PD036,2024-06-06,12,2507
SL00361,ST03,PD027,2024-02-03,10,15892
SL00362,ST02,PD003,2024-12-31,5,6235
SL00363,ST02,PD036,2024-01-28,9,2507
SL00364,ST03,PD009,2024-02-15,4,5020
SL00365,ST01,PD003,2024-08-04,1,6235
SL00366,ST06,PD026,2024-05-10,11,10576
SL00367,ST05,PD017,2024-01-22,4,5732
SL00368,ST06,PD024,2024-10-16,4,26387
SL00369,ST01,PD019,2024-09-05,11,1711
SL00370,ST06,PD031,2024-11-16,4,4109
SL00371,ST03,PD014,2024-12-17,11,412
SL00372,ST06,PD015,2024-11-18,1,691
SL00373,ST01,PD030,2024-10-07,12,1814
SL00374,ST01,PD010,2024-11-16,9,6383
SL00375,ST01,PD011,2024-07-15,11,492
SL00376,ST04,PD002,2024-12-06,4,4529
SL00377,ST02,PD037,2024-04-22,2,2709
SL00378,ST04,PD034,2024-08-24,11,492
SL00379,ST01,PD034,2024-12-11,2,492
SL00380,ST05,PD002,2024-02-01,3,4529
SL00381,ST05,PD016,2024-10-12,4,1467
SL00382,ST05,PD026,2024-12-14,8,10576
SL00383,ST06,PD001,2024-03-12,11,3754
SL00384,ST04,PD023,2024-11-07,6,2300
SL00385,ST03,PD016,2024-08-04,5,1467
SL00386,ST06,PD018,2024-02-02,2,5356
SL00387,ST06,PD039,2024-12-14,4,2854
SL00388,ST03,PD023,2024-08-19,12,2300
SL00389,ST05,PD012,2024-07-19,4,655
SL00390,ST05,PD038,2024-12-25,7,952
SL00391,ST03,PD011,2024-01-09,11,492
SL00392,ST02,PD011,2024-09-14,12,492
SL00393,ST05,PD017,2024-03-14,1,5732
SL00394,ST01,PD015,2024-08-31,11,691
SL00395,ST05,PD023,2024-02-08,5,2300
SL00396,ST01,PD021,2024-11-06,1,1492
SL00397,ST06,PD039,2024-01-13,11,2854
SL00398,ST05,PD013,2024-12-11,6,432
SL00399,ST02,PD031,2024-09-23,7,4109
SL00400,ST02,PD040,2024-11-10,6,460
SL00401,ST05,PD016,2024-11-23,2,1467
SL00402,ST04,PD002,2024-09-03,4,4529
SL00403,ST02,PD015,2024-09-23,3,691
SL00404,ST04,PD029,2024-06-12,4,29306
SL00405,ST05,PD019,2024-12-08,1,1711
SL00406,ST06,PD012,2024-06-02,10,655
SL00407,ST04,PD025,2024-09-23,10,16385
SL00408,ST06,PD037,2024-03-28,4,2709
SL00409,ST03,PD036,2024-10-07,6,2507
SL00410,ST06,PD022,2024-04-03,1,4319
SL00411,ST01,PD005,2024-12-14,2,912
SL00412,ST06,PD041,2024-12-20,11,2034
SL00413,ST06,PD024,2024-06-07,5,26387
SL00414,ST05,PD020,2024-06-07,8,5655
SL00415,ST02,PD039,2024-01-03,8,2854
SL00416,ST01,PD018,2024-07-06,2,5356
SL00417,ST04,PD036,2024-01-08,4,2507
SL00418,ST02,PD009,2024-02-22,12,5020
SL00419,ST04,PD029,2024-06-17,10,29306
SL00420,ST01,PD040,2024-03-09,6,460
SL00421,ST06,PD017,2024-11-17,10,5732
SL00422,ST02,PD034,2024-10-20,2,492
SL00423,ST02,PD002,2024-03-31,1,4529
SL00424,ST01,PD018,2024-01-27,4,5356
SL00425,ST04,PD041,2024-03-08,9,2034
SL00426,ST01,PD005,2024-03-17,10,912
SL00427,ST02,PD030,2024-10-31,6,1814
SL00428,ST03,PD029,2024-07-01,2,29306
SL00429,ST04,PD010,2024-04-19,8,6383
SL00430,ST06,PD004,2024-01-29,8,4324
SL00431,ST04,PD039,2024-12-01,12,2854
SL00432,ST02,PD014,2024-12-25,1,412
SL00433,ST02,PD012,2024-06-27,2,655
SL00434,ST04,PD030,2024-08-07,7,1814
SL00435,ST05,PD035,2024-11-08,3,3801
SL00436,ST02,PD008,2024-09-07,5,3556
SL00437,ST02,PD027,2024-02-20,4,15892
SL00438,ST03,PD014,2024-07-05,10,412
SL00439,ST05,PD023,2024-03-31,11,2300
SL00440,ST03,PD040,2024-07-22,6,460
SL00441,ST02,PD026,2024-02-02,10,10576
SL00442,ST05,PD011,2024-06-15,10,492
SL00443,ST05,PD003,2024-10-17,5,6235
SL00444,ST01,PD020,2024-06-01,8,5655
SL00445,ST02,PD024,2024-08-12,7,26387
SL00446,ST04,PD013,2024-10-11,12,432
SL00447,ST03,PD012,2024-08-01,5,655
SL00448,ST03,PD033,2024-10-05,7,1390
SL00449,ST04,PD020,2024-08-11,7,5655
SL00450,ST03,PD038,2024-12-05,6,952
SL00451,ST04,PD032,2024-01-03,6,3341
SL00452,ST05,PD008,2024-07-27,6,3556
SL00453,ST04,PD004,2024-08-25,10,4324
SL00454,ST04,PD038,2024-05-23,6,952
SL00455,ST01,PD005,2024-07-10,10,912
SL00456,ST03,PD001,2024-11-11,3,3754
SL00457,ST04,PD022,2024-09-14,8,4319
SL00458,ST03,PD001,2024-03-25,7,3754
SL00459,ST04,PD017,2024-11-08,8,5732
SL00460,ST03,PD040,2024-01-24,12,460
SL00461,ST01,PD035,2024-06-02,12,3801
SL00462,ST04,PD026,2024-01-04,12,10576
SL00463,ST04,PD041,2024-04-22,9,2034
SL00464,ST05,PD012,2024-07-09,1,655
SL00465,ST01,PD019,2024-08-01,3,1711
SL00466,ST03,PD030,2024-01-01,11,1814
SL00467,ST02,PD041,2024-01-15,11,2034
SL00468,ST02,PD040,2024-04-02,6,460
SL00469,ST01,PD012,2024-04-04,4,655
SL00470,ST01,PD036,2024-03-30,10,2507
SL00471,ST03,PD019,2024-12-24,7,1711
SL00472,ST04,PD009,2024-07-12,4,5020
SL00473,ST06,PD021,2024-02-19,5,1492
SL00474,ST04,PD033,2024-05-14,10,1390
SL00475,ST06,PD031,2024-02-16,6,4109
SL00476,ST02,PD007,2024-12-10,10,6571
SL00477,ST03,PD022,2024-07-08,9,4319
SL00478,ST02,PD039,2024-10-06,6,2854
SL00479,ST06,PD015,2024-04-26,6,691
SL00480,ST06,PD033,2024-05-30,10,1390
SL00481,ST06,PD039,2024-11-04,11,2854
SL00482,ST01,PD040,2024-08-09,10,460
SL00483,ST02,PD023,2024-06-27,11,2300
SL00484,ST06,PD039,2024-06-22,3,2854
SL00485,ST05,PD009,2024-08-30,11,5020
SL00486,ST01,PD021,2024-03-07,1,1492
SL00487,ST06,PD037,2024-01-23,2,2709
SL00488,ST01,PD036,2024-09-11,11,2507
SL00489,ST05,PD020,2024-08-22,4,5655
SL00490,ST01,PD005,2024-02-10,5,912
SL00491,ST04,PD039,2024-05-02,4,2854
SL00492,ST01,PD028,2024-10-16,9,8913
SL00493,ST06,PD040,2024-02-19,1,460
SL00494,ST06,PD021,2024-01-02,5,1492
SL00495,ST05,PD021,2024-07-18,11,1492
SL00496,ST05,PD007,2024-12-01,8,6571
SL00497,ST01,PD018,2024-01-15,12,5356
SL00498,ST05,PD024,2024-09-08,6,26387
SL00499,ST02,PD034,2024-05-14,11,492
SL00500,ST03,PD019,2024-11-03,12,1711
SL00501,ST02,PD018,2024-02-15,1,5356
SL00502,ST02,PD020,2024-01-09,11,5655
SL00503,ST03,PD033,2024-02-15,9,1390
SL00504,ST05,PD012,2024-11-17,7,655
SL00505,ST03,PD021,2024-10-18,1,1492
SL00506,ST05,PD030,2024-08-14,3,1814
SL00507,ST03,PD021,2024-01-18,12,1492
SL00508,ST03,PD024,2024-03-02,6,26387
SL00509,ST05,PD008,2024-01-25,10,3556
SL00510,ST04,PD014,2024-07-08,8,412
SL00511,ST01,PD030,2024-08-14,10,1814
SL00512,ST06,PD025,2024-01-16,11,16385
SL00513,ST01,PD026,2024-12-09,7,10576
SL00514,ST03,PD038,2024-02-27,4,952
SL00515,ST01,PD024,2024-03-28,9,26387
SL00516,ST05,PD017,2024-04-14,7,5732
SL00517,ST03,PD039,2024-07-03,10,2854
SL00518,ST05,PD024,2024-03-22,8,26387
SL00519,ST06,PD030,2024-02-01,12,1814
SL00520,ST05,PD027,2024-11-13,3,15892
SL00521,ST04,PD009,2024-11-02,11,5020
SL00522,ST03,PD008,2024-07-17,10,3556
SL00523,ST05,PD017,2024-01-15,7,5732
SL00524,ST05,PD002,2024-11-26,3,4529
SL00525,ST04,PD032,2024-03-04,1,3341
SL00526,ST02,PD001,2024-12-30,4,3754
SL00527,ST01,PD023,2024-12-02,3,2300
SL00528,ST05,PD002,2024-05-12,6,4529
SL00529,ST06,PD038,2024-07-15,10,952
SL00530,ST03,PD008,2024-08-28,4,3556
SL00531,ST05,PD017,2024-05-13,4,5732
SL00532,ST03,PD036,2024-11-21,11,2507
SL00533,ST02,PD028,2024-04-14,8,8913
SL00534,ST05,PD023,2024-09-19,12,2300
SL00535,ST05,PD018,2024-12-20,2,5356
SL00536,ST06,PD016,2024-10-03,12,1467
SL00537,ST06,PD031,2024-09-27,8,4109
SL00538,ST01,PD001,2024-10-14,9,3754
SL00539,ST06,PD006,2024-12-05,12,5275
SL00540,ST01,PD006,2024-04-28,4,5275
SL00541,ST05,PD031,2024-06-15,11,4109
SL00542,ST02,PD011,2024-04-13,2,492
SL00543,ST02,PD018,2024-03-26,5,5356
SL00544,ST06,PD006,2024-08-14,1,5275
SL00545,ST01,PD030,2024-03-15,8,1814
SL00546,ST04,PD033,2024-11-04,7,1390
SL00547,ST02,PD016,2024-09-18,8,1467
SL00548,ST06,PD040,2024-01-21,9,460
SL00549,ST02,PD005,2024-12-11,3,912
SL00550,ST06,PD012,2024-01-26,9,655
SL00551,ST02,PD010,2024-01-28,5,6383
SL00552,ST05,PD019,2024-05-30,11,1711
SL00553,ST03,PD016,2024-02-27,10,1467
SL00554,ST05,PD032,2024-10-14,2,3341
SL00555,ST03,PD027,2024-10-27,6,15892
SL00556,ST01,PD031,2024-01-18,5,4109
SL00557,ST06,PD010,2024-06-23,10,6383
SL00558,ST01,PD038,2024-01-08,12,952
SL00559,ST02,PD041,2024-09-18,5,2034
SL00560,ST02,PD011,2024-05-20,2,492
SL00561,ST01,PD032,2024-12-27,2,3341
SL00562,ST06,PD035,2024-04-24,11,3801
