record_id,lawyer_id,case_id,date,hours,hourly_rate
BH0179,LW008,CS0042,2024-02-14,2.7,10000
BH0180,LW007,CS0023,2024-10-05,6.4,15000
BH0181,LW008,CS0006,2024-02-10,1.4,10000
BH0182,LW017,CS0068,2024-12-08,0.7,25000
BH0183,LW009,CS0129,2024-09-29,3.2,50000
BH0184,LW011,CS0096,2024-03-09,6.4,25000
BH0185,LW005,CS0146,2024-07-20,1.4,10000
BH0186,LW009,CS0050,2024-07-29,5.7,25000
BH0187,LW012,CS0117,2024-12-28,8.6,15000
BH0188,LW011,CS0019,2024-08-19,8.6,15000
BH0189,LW021,CS0129,2024-08-21,6.6,10000
BH0190,LW022,CS0062,2024-06-17,3.5,50000
BH0191,LW014,CS0159,2024-08-09,8.8,15000
BH0192,LW022,CS0053,2024-10-04,6.6,25000
BH0193,LW023,CS0191,2024-10-02,4.2,25000
BH0194,LW003,CS0119,2024-11-30,5.0,15000
BH0195,LW011,CS0175,2024-07-17,8.2,10000
BH0196,LW020,CS0158,2024-10-25,8.9,50000
BH0197,LW005,CS0068,2024-08-05,8.4,25000
BH0198,LW021,CS0121,2024-08-03,6.5,15000
BH0199,LW019,CS0051,2024-07-20,7.3,25000
BH0200,LW005,CS0111,2024-09-25,7.8,10000
BH0201,LW016,CS0152,2024-08-22,2.1,50000
BH0202,LW019,CS0187,2024-11-06,8.0,10000
BH0203,LW003,CS0002,2024-03-08,6.1,50000
BH0204,LW003,CS0156,2024-01-30,6.3,25000
BH0205,LW024,CS0190,2024-12-12,7.8,10000
BH0206,LW007,CS0139,2024-12-04,4.4,10000
BH0207,LW005,CS0032,2024-07-06,5.9,10000
BH0208,LW021,CS0071,2024-06-29,6.7,50000
BH0209,LW006,CS0079,2024-05-18,4.0,15000
BH0210,LW005,CS0010,2024-02-18,3.8,50000
BH0211,LW014,CS0056,2024-11-19,7.2,15000
BH0212,LW022,CS0091,2024-01-19,4.9,25000
BH0213,LW007,CS0188,2024-03-08,3.8,25000
BH0214,LW008,CS0173,2024-10-02,1.3,25000
BH0215,LW001,CS0061,2024-01-28,6.0,25000
BH0216,LW011,CS0153,2024-09-26,7.6,10000
BH0217,LW022,CS0071,2024-03-22,1.0,25000
BH0218,LW017,CS0077,2024-04-07,6.9,25000
BH0219,LW002,CS0125,2024-05-23,3.6,15000
BH0220,LW024,CS0064,2024-04-04,4.9,50000
BH0221,LW001,CS0036,2024-05-15,2.8,25000
BH0222,LW007,CS0023,2024-01-13,8.2,10000
BH0223,LW015,CS0124,2024-02-19,6.2,15000
BH0224,LW008,CS0174,2024-06-17,6.5,15000
BH0225,LW005,CS0194,2024-09-07,4.5,15000
BH0226,LW016,CS0112,2024-06-30,3.4,50000
BH0227,LW013,CS0017,2024-08-12,1.6,25000
BH0228,LW016,CS0058,2024-06-21,3.2,10000
BH0229,LW010,CS0120,2024-02-19,2.0,50000
BH0230,LW014,CS0110,2024-02-24,3.4,15000
BH0231,LW019,CS0056,2024-10-22,6.8,15000
BH0232,LW020,CS0069,2024-04-01,4.4,10000
BH0233,LW005,CS0018,2024-06-26,1.0,10000
BH0234,LW007,CS0066,2024-04-23,5.9,10000
BH0235,LW014,CS0041,2024-08-29,5.8,25000
BH0236,LW017,CS0047,2024-05-27,7.4,50000
BH0237,LW007,CS0056,2024-12-26,8.0,10000
BH0238,LW005,CS0155,2024-11-05,7.8,15000
BH0239,LW015,CS0029,2024-12-18,5.6,15000
BH0240,LW015,CS0089,2024-11-02,2.6,25000
BH0241,LW011,CS0119,2024-12-07,8.3,25000
BH0242,LW006,CS0022,2024-02-15,4.1,15000
BH0243,LW006,CS0009,2024-12-27,3.8,25000
BH0244,LW020,CS0023,2024-01-24,0.5,25000
BH0245,LW009,CS0049,2024-07-20,2.6,15000
BH0246,LW013,CS0069,2024-05-28,2.6,15000
BH0247,LW024,CS0200,2024-10-15,7.4,50000
BH0248,LW019,CS0024,2024-05-09,1.8,10000
BH0249,LW021,CS0015,2024-08-25,5.8,15000
BH0250,LW015,CS0102,2024-09-13,2.5,15000
BH0251,LW015,CS0131,2024-01-25,7.7,50000
BH0252,LW018,CS0082,2024-12-08,4.6,10000
BH0253,LW020,CS0056,2024-04-06,5.1,25000
BH0254,LW007,CS0011,2024-01-08,0.9,10000
BH0255,LW002,CS0171,2024-08-04,2.3,15000
BH0256,LW011,CS0132,2024-08-05,6.0,50000
BH0257,LW015,CS0085,2024-05-25,3.9,50000
BH0258,LW004,CS0123,2024-03-25,5.2,25000
BH0259,LW015,CS0168,2024-01-15,2.6,25000
BH0260,LW014,CS0164,2024-04-20,2.4,25000
BH0261,LW013,CS0091,2024-11-28,7.2,50000
BH0262,LW017,CS0073,2024-02-03,3.3,50000
BH0263,LW024,CS0052,2024-06-19,1.5,25000
BH0264,LW016,CS0053,2024-06-09,8.8,10000
BH0265,LW017,CS0094,2024-02-25,7.2,50000
BH0266,LW013,CS0146,2024-12-11,3.8,25000
BH0267,LW019,CS0105,2024-06-16,7.2,10000
BH0268,LW002,CS0164,2024-04-27,6.5,50000
BH0269,LW024,CS0081,2024-03-19,2.0,50000
BH0270,LW024,CS0070,2024-09-21,2.7,15000
BH0271,LW003,CS0003,2024-10-15,1.9,15000
BH0272,LW011,CS0024,2024-05-15,3.4,50000
BH0273,LW019,CS0163,2024-07-07,7.6,15000
BH0274,LW015,CS0165,2024-03-07,2.5,50000
BH0275,LW014,CS0012,2024-05-19,1.1,15000
BH0276,LW014,CS0079,2024-04-19,1.0,50000
BH0277,LW002,CS0140,2024-02-09,2.4,50000
BH0278,LW005,CS0046,2024-10-29,5.3,10000
BH0279,LW001,CS0159,2024-04-12,3.6,15000
BH0280,LW010,CS0172,2024-04-07,5.7,15000
BH0281,LW020,CS0164,2024-07-08,0.8,25000
BH0282,LW019,CS0101,2024-03-09,5.2,10000
BH0283,LW015,CS0111,2024-12-12,6.0,25000
BH0284,LW007,CS0155,2024-01-28,8.3,50000
BH0285,LW018,CS0055,2024-12-03,9.0,25000
BH0286,LW025,CS0128,2024-07-25,4.4,10000
BH0287,LW002,CS0113,2024-09-15,1.8,25000
BH0288,LW013,CS0111,2024-07-19,3.7,25000
BH0289,LW023,CS0144,2024-04-23,4.2,10000
BH0290,LW022,CS0145,2024-11-20,3.1,50000
BH0291,LW017,CS0041,2024-12-15,6.8,10000
BH0292,LW017,CS0084,2024-06-20,5.4,25000
BH0293,LW021,CS0110,2024-03-25,5.4,15000
BH0294,LW013,CS0098,2024-10-16,6.9,15000
BH0295,LW007,CS0200,2024-03-14,3.3,15000
BH0296,LW016,CS0063,2024-11-19,8.5,50000
BH0297,LW018,CS0184,2024-11-06,6.5,50000
BH0298,LW002,CS0187,2024-12-15,2.8,15000
BH0299,LW007,CS0200,2024-12-10,6.3,25000
BH0300,LW021,CS0065,2024-08-08,4.0,10000
BH0301,LW002,CS0091,2024-02-21,8.5,25000
BH0302,LW020,CS0187,2024-07-16,1.2,10000
BH0303,LW013,CS0132,2024-07-21,1.9,50000
BH0304,LW025,CS0190,2024-09-23,6.4,50000
BH0305,LW020,CS0044,2024-05-19,8.8,25000
BH0306,LW001,CS0194,2024-05-05,6.3,25000
BH0307,LW003,CS0134,2024-08-06,5.8,25000
BH0308,LW014,CS0023,2024-04-27,6.2,25000
BH0309,LW002,CS0144,2024-10-03,2.4,15000
BH0310,LW004,CS0140,2024-05-06,5.1,10000
BH0311,LW013,CS0149,2024-04-07,2.8,50000
BH0312,LW019,CS0018,2024-03-10,6.0,15000
BH0313,LW016,CS0127,2024-11-04,8.7,15000
BH0314,LW021,CS0157,2024-10-09,7.4,10000
BH0315,LW025,CS0173,2024-03-21,1.9,10000
BH0316,LW003,CS0099,2024-04-20,1.3,25000
BH0317,LW006,CS0008,2024-01-04,5.8,15000
BH0318,LW019,CS0026,2024-07-05,1.8,10000
BH0319,LW007,CS0063,2024-07-21,5.9,15000
BH0320,LW022,CS0018,2024-05-29,7.0,15000
BH0321,LW003,CS0043,2024-09-05,0.9,15000
BH0322,LW004,CS0141,2024-10-31,8.3,50000
BH0323,LW006,CS0009,2024-02-27,2.1,25000
BH0324,LW020,CS0005,2024-05-05,1.3,50000
BH0325,LW016,CS0163,2024-06-12,3.9,10000
BH0326,LW001,CS0179,2024-01-03,6.4,10000
BH0327,LW015,CS0097,2024-06-24,7.7,15000
BH0328,LW025,CS0045,2024-05-30,7.7,15000
BH0329,LW009,CS0056,2024-09-18,8.2,50000
BH0330,LW004,CS0096,2024-02-07,3.2,50000
BH0331,LW010,CS0112,2024-11-12,1.5,50000
BH0332,LW021,CS0015,2024-12-19,5.2,10000
BH0333,LW005,CS0124,2024-03-13,5.0,15000
BH0334,LW002,CS0066,2024-01-28,0.9,15000
BH0335,LW022,CS0188,2024-09-23,0.6,15000
BH0336,LW010,CS0161,2024-12-31,5.3,10000
BH0337,LW006,CS0053,2024-03-26,1.5,10000
BH0338,LW001,CS0096,2024-11-03,7.9,15000
BH0339,LW006,CS0068,2024-12-23,1.1,15000
BH0340,LW005,CS0175,2024-06-28,2.1,50000
BH0341,LW013,CS0042,2024-07-03,1.8,10000
BH0342,LW006,CS0023,2024-04-22,1.4,50000
BH0343,LW015,CS0145,2024-06-26,6.7,15000
BH0344,LW017,CS0191,2024-04-20,1.9,50000
BH0345,LW016,CS0174,2024-01-14,1.4,10000
BH0346,LW013,CS0115,2024-09-15,1.4,50000
BH0347,LW015,CS0190,2024-10-01,4.0,15000
BH0348,LW020,CS0002,2024-04-01,3.2,25000
BH0349,LW007,CS0130,2024-07-22,7.9,15000
BH0350,LW014,CS0114,2024-04-29,7.1,15000
BH0351,LW006,CS0011,2024-11-10,5.4,10000
BH0352,LW016,CS0176,2024-06-22,2.3,10000
BH0353,LW010,CS0173,2024-01-07,3.6,15000
BH0354,LW003,CS0156,2024-09-24,2.9,10000
BH0355,LW002,CS0171,2024-06-24,0.7,25000
BH0356,LW011,CS0001,2024-09-27,2.7,25000
BH0357,LW006,CS0141,2024-05-29,4.0,50000
BH0358,LW015,CS0016,2024-04-29,7.1,25000
BH0359,LW014,CS0116,2024-11-08,4.7,10000
BH0360,LW018,CS0168,2024-04-26,9.0,50000
BH0361,LW013,CS0070,2024-12-03,3.0,10000
BH0362,LW011,CS0131,2024-04-28,3.2,10000
BH0363,LW003,CS0128,2024-03-24,4.3,50000
BH0364,LW021,CS0153,2024-08-14,2.6,15000
BH0365,LW018,CS0048,2024-10-16,0.7,15000
BH0366,LW005,CS0003,2024-07-03,1.4,15000
BH0367,LW003,CS0050,2024-05-10,0.7,15000
BH0368,LW013,CS0137,2024-01-16,1.1,10000
BH0369,LW012,CS0008,2024-04-01,3.1,50000
BH0370,LW011,CS0017,2024-02-03,6.2,25000
BH0371,LW016,CS0020,2024-02-15,4.4,50000
BH0372,LW009,CS0139,2024-06-29,8.5,50000
BH0373,LW019,CS0112,2024-09-18,5.2,15000
BH0374,LW021,CS0169,2024-02-15,1.9,25000
BH0375,LW002,CS0115,2024-12-04,5.6,25000
BH0376,LW021,CS0077,2024-10-05,6.3,15000
BH0377,LW018,CS0169,2024-09-23,1.5,10000
BH0378,LW004,CS0026,2024-05-20,7.5,25000
BH0379,LW023,CS0105,2024-09-12,7.3,50000
BH0380,LW015,CS0113,2024-08-01,8.2,25000
BH0381,LW005,CS0069,2024-10-16,3.9,10000
BH0382,LW004,CS0124,2024-01-20,5.3,10000
BH0383,LW015,CS0109,2024-06-05,3.3,50000
BH0384,LW015,CS0195,2024-01-21,1.6,15000
BH0385,LW022,CS0053,2024-10-11,0.5,25000
BH0386,LW008,CS0079,2024-08-19,4.8,15000
BH0387,LW015,CS0118,2024-12-02,1.7,15000
BH0388,LW024,CS0039,2024-01-31,5.7,25000
BH0389,LW021,CS0151,2024-11-25,6.4,25000
BH0390,LW017,CS0145,2024-10-11,4.5,15000
BH0391,LW012,CS0182,2024-09-14,4.7,50000
BH0392,LW006,CS0159,2024-11-07,7.9,15000
BH0393,LW007,CS0161,2024-06-22,6.5,10000
BH0394,LW006,CS0180,2024-05-10,0.8,15000
BH0395,LW019,CS0129,2024-07-24,6.2,15000
BH0396,LW023,CS0156,2024-09-27,3.1,50000
BH0397,LW010,CS0137,2024-05-26,2.8,50000
BH0398,LW008,CS0150,2024-10-12,2.5,50000
BH0399,LW022,CS0089,2024-03-08,6.5,10000
BH0400,LW018,CS0188,2024-10-10,4.0,50000
BH0401,LW013,CS0043,2024-03-20,4.5,25000
BH0402,LW008,CS0061,2024-06-08,8.1,50000
BH0403,LW021,CS0041,2024-01-29,7.7,50000
BH0404,LW014,CS0050,2024-05-05,2.8,10000
BH0405,LW004,CS0068,2024-12-19,8.0,10000
BH0406,LW012,CS0102,2024-12-19,2.2,25000
BH0407,LW006,CS0107,2024-04-18,3.9,50000
BH0408,LW006,CS0056,2024-04-09,3.6,10000
BH0409,LW010,CS0071,2024-05-16,3.6,10000
BH0410,LW024,CS0168,2024-06-05,2.2,25000
BH0411,LW005,CS0022,2024-02-09,1.4,25000
BH0412,LW009,CS0148,2024-05-15,3.0,25000
BH0413,LW016,CS0165,2024-05-27,1.9,10000
BH0414,LW021,CS0142,2024-09-29,6.6,15000
BH0415,LW021,CS0197,2024-06-02,3.7,10000
BH0416,LW012,CS0020,2024-03-23,5.8,10000
BH0417,LW014,CS0070,2024-09-08,6.0,15000
BH0418,LW009,CS0170,2024-07-17,3.0,50000
BH0419,LW006,CS0065,2024-08-13,6.7,25000
BH0420,LW007,CS0167,2024-11-14,5.8,50000
BH0421,LW012,CS0196,2024-11-26,5.3,10000
BH0422,LW012,CS0062,2024-01-02,1.0,25000
BH0423,LW004,CS0067,2024-07-07,8.8,10000
BH0424,LW017,CS0057,2024-05-22,4.6,15000
BH0425,LW022,CS0061,2024-01-25,3.4,50000
BH0426,LW018,CS0044,2024-05-13,3.3,15000
BH0427,LW003,CS0007,2024-09-14,1.3,25000
BH0428,LW013,CS0077,2024-05-02,6.8,50000
BH0429,LW006,CS0079,2024-04-15,6.8,10000
BH0430,LW009,CS0162,2024-07-31,0.6,50000
BH0431,LW024,CS0191,2024-10-29,3.8,10000
BH0432,LW013,CS0153,2024-11-16,4.0,50000
BH0433,LW010,CS0156,2024-02-22,8.0,15000
BH0434,LW003,CS0133,2024-09-08,5.6,10000
BH0435,LW013,CS0087,2024-01-05,4.1,25000
BH0436,LW015,CS0022,2024-06-28,5.4,10000
BH0437,LW004,CS0043,2024-06-12,0.5,15000
BH0438,LW003,CS0107,2024-01-23,0.5,25000
BH0439,LW025,CS0014,2024-04-05,8.2,50000
BH0440,LW006,CS0143,2024-11-13,5.1,15000
BH0441,LW021,CS0035,2024-02-27,8.4,10000
BH0442,LW018,CS0101,2024-02-10,2.7,25000
BH0443,LW005,CS0096,2024-01-19,7.7,50000
BH0444,LW025,CS0098,2024-11-12,5.6,50000
BH0445,LW017,CS0067,2024-03-24,0.8,10000
BH0446,LW021,CS0018,2024-05-26,1.2,25000
BH0447,LW005,CS0066,2024-07-19,0.6,50000
BH0448,LW008,CS0126,2024-03-27,2.6,50000
BH0449,LW003,CS0184,2024-06-30,5.4,15000
BH0450,LW017,CS0181,2024-06-13,6.8,25000
BH0451,LW015,CS0083,2024-12-03,4.5,50000
BH0452,LW007,CS0193,2024-09-07,6.5,15000
BH0453,LW019,CS0059,2024-01-15,3.4,50000
BH0454,LW016,CS0148,2024-08-28,6.1,15000
BH0455,LW013,CS0114,2024-08-10,0.6,25000
BH0456,LW024,CS0161,2024-02-21,0.8,15000
BH0457,LW020,CS0070,2024-12-10,5.1,25000
BH0458,LW001,CS0198,2024-05-23,7.4,15000
BH0459,LW019,CS0015,2024-05-01,3.4,50000
BH0460,LW024,CS0007,2024-03-09,5.0,50000
BH0461,LW020,CS0162,2024-07-15,4.1,10000
BH0462,LW020,CS0108,2024-04-18,3.5,50000
BH0463,LW013,CS0005,2024-09-05,3.3,10000
BH0464,LW006,CS0023,2024-01-30,1.3,25000
BH0465,LW005,CS0100,2024-03-25,6.1,50000
BH0466,LW010,CS0168,2024-05-26,8.3,10000
BH0467,LW005,CS0072,2024-06-25,5.5,10000
BH0468,LW017,CS0090,2024-11-06,5.9,25000
BH0469,LW013,CS0096,2024-05-03,3.4,25000
BH0470,LW021,CS0063,2024-08-28,7.1,25000
BH0471,LW002,CS0115,2024-08-01,8.3,25000
BH0472,LW025,CS0199,2024-06-14,4.4,15000
BH0473,LW016,CS0065,2024-10-13,7.4,25000
BH0474,LW024,CS0192,2024-03-20,3.3,15000
BH0475,LW006,CS0085,2024-10-09,7.6,50000
BH0476,LW015,CS0152,2024-11-23,0.9,50000
BH0477,LW011,CS0198,2024-03-27,7.7,50000
BH0478,LW019,CS0193,2024-11-20,8.2,25000
BH0479,LW019,CS0176,2024-08-07,3.3,15000
BH0480,LW007,CS0160,2024-07-22,4.7,10000
BH0481,LW005,CS0016,2024-04-24,6.2,25000
BH0482,LW009,CS0010,2024-08-12,0.5,25000
BH0483,LW025,CS0023,2024-06-24,5.3,10000
BH0484,LW005,CS0073,2024-03-14,4.0,25000
BH0485,LW016,CS0082,2024-04-23,7.6,25000
BH0486,LW003,CS0182,2024-04-13,6.2,50000
BH0487,LW013,CS0181,2024-05-06,3.3,25000
BH0488,LW014,CS0019,2024-06-08,1.6,50000
BH0489,LW024,CS0043,2024-01-12,2.8,25000
BH0490,LW005,CS0006,2024-07-22,7.2,15000
BH0491,LW009,CS0105,2024-02-09,1.1,50000
BH0492,LW017,CS0127,2024-04-06,4.3,15000
BH0493,LW021,CS0098,2024-06-27,9.0,15000
BH0494,LW022,CS0056,2024-12-20,4.8,25000
BH0495,LW004,CS0183,2024-11-09,1.1,10000
BH0496,LW013,CS0013,2024-05-05,2.2,15000
BH0497,LW002,CS0130,2024-07-10,3.0,10000
BH0498,LW017,CS0167,2024-06-03,2.6,50000
