case_id,client_id,lawyer_id,case_type,status,open_date,close_date,settlement_amount
CS0170,CL014,LW025,Employment,Settled,2023-01-30,2024-06-07,7300000
CS0171,CL051,LW024,Criminal,Won,2023-05-04,2024-05-06,0
CS0172,CL116,LW009,Family,Open,2024-01-11,,0
CS0173,CL075,LW006,Property,Settled,2023-01-27,2024-03-24,3100000
CS0174,CL033,LW001,Property,Open,2023-10-10,,0
CS0175,CL109,LW014,Property,Won,2024-11-23,2025-06-01,0
CS0176,CL007,LW024,Property,Open,2022-10-15,,0
CS0177,CL026,LW015,Employment,Open,2023-12-29,,0
CS0178,CL088,LW012,Family,Won,2023-01-16,2023-03-15,0
CS0179,CL029,LW022,Family,Won,2023-11-21,2025-01-10,0
CS0180,CL109,LW002,Property,Won,2023-08-02,2024-09-23,0
CS0181,CL090,LW017,Employment,Settled,2024-04-26,2025-01-14,6000000
CS0182,CL115,LW024,Criminal,Settled,2022-12-04,2023-11-28,9200000
CS0183,CL095,LW002,Property,Open,2022-03-06,,0
CS0184,CL119,LW009,Corporate,Open,2022-01-19,,0
CS0185,CL009,LW004,Criminal,Settled,2023-09-28,2024-07-07,9800000
CS0186,CL089,LW015,Family,Won,2024-04-04,2024-06-27,0
CS0187,CL036,LW004,Corporate,Lost,2022-02-01,2023-06-02,0
CS0188,CL062,LW003,Employment,Won,2024-05-25,2025-01-19,0
CS0189,CL020,LW014,Criminal,Lost,2023-06-11,2023-11-27,0
CS0190,CL064,LW002,Tax,Won,2023-09-08,2024-12-02,0
CS0191,CL011,LW004,Corporate,Won,2024-04-28,2025-01-23,0
CS0192,CL060,LW015,Corporate,Open,2024-10-25,,0
CS0193,CL042,LW015,Corporate,Won,2023-05-12,2023-08-30,0
CS0194,CL101,LW025,Corporate,Won,2023-08-25,2024-01-16,0
CS0195,CL040,LW013,Tax,Lost,2023-05-16,2023-08-22,0
CS0196,CL079,LW016,Tax,Lost,2024-12-21,2025-11-05,0
CS0197,CL028,LW021,Corporate,Won,2022-05-03,2023-06-23,0
CS0198,CL013,LW015,Property,Won,2023-04-12,2024-01-29,0
CS0199,CL019,LW009,Property,Settled,2024-10-21,2025-09-18,7400000
CS0200,CL003,LW010,Employment,Settled,2022-11-26,2023-05-20,6000000
