transaction_id,account_id,date,type,amount,channel
TX00209,AC0136,2024-05-25,deposit,144075.1,Mobile App
TX00210,AC0470,2024-01-02,withdrawal,59068.33,Branch
TX00211,AC0069,2024-01-30,deposit,47028.56,ATM
TX00212,AC0414,2024-03-04,withdrawal,16773.99,Branch
TX00213,AC0116,2024-04-28,transfer,79718.33,Branch
TX00214,AC0430,2024-01-14,deposit,113599.92,Mobile App
TX00215,AC0100,2024-03-28,deposit,141269.22,Online
TX00216,AC0038,2024-05-02,transfer,41615.44,Branch
TX00217,AC0215,2024-02-09,deposit,38644.53,ATM
TX00218,AC0357,2024-05-30,deposit,78192.2,Mobile App
TX00219,AC0482,2024-01-22,withdrawal,94756.45,Branch
TX00220,AC0122,2024-09-09,transfer,64586.09,ATM
TX00221,AC0266,2024-12-21,deposit,17918.64,Online
TX00222,AC0219,2024-01-10,deposit,141605.27,ATM
TX00223,AC0267,2024-04-14,withdrawal,58893.17,ATM
TX00224,AC0419,2024-01-14,transfer,23521.78,Mobile App
TX00225,AC0038,2024-06-13,withdrawal,15441.89,Online
TX00226,AC0394,2024-04-21,withdrawal,134675.3,Branch
TX00227,AC0027,2024-08-08,deposit,65717.95,ATM
TX00228,AC0249,2024-11-16,transfer,63958.8,Online
TX00229,AC0319,2024-04-17,withdrawal,43914.92,ATM
TX00230,AC0060,2024-05-03,withdrawal,134505.89,ATM
TX00231,AC0407,2024-09-27,transfer,117146.37,Branch
TX00232,AC0153,2024-05-01,transfer,129493.64,Online
TX00233,AC0209,2024-01-24,withdrawal,35445.24,Branch
TX00234,AC0315,2024-03-04,deposit,15819.97,Branch
TX00235,AC0232,2024-12-19,deposit,91049.47,ATM
TX00236,AC0260,2024-07-07,deposit,120591.34,Branch
TX00237,AC0294,2024-04-03,deposit,107340.59,Mobile App
TX00238,AC0131,2024-10-25,deposit,60726.83,Mobile App
TX00239,AC0393,2024-11-15,transfer,130502.21,Branch
TX00240,AC0426,2024-10-09,transfer,13903.38,Branch
TX00241,AC0075,2024-10-01,withdrawal,87102.3,Online
TX00242,AC0076,2024-06-18,deposit,44513.92,Branch
TX00243,AC0292,2024-11-12,withdrawal,143016.63,Online
TX00244,AC0056,2024-04-04,withdrawal,44517.53,Online
TX00245,AC0398,2024-08-08,transfer,84805.31,ATM
TX00246,AC0209,2024-11-14,deposit,148508.39,Mobile App
TX00247,AC0080,2024-07-22,deposit,68848.63,Mobile App
TX00248,AC0498,2024-01-16,transfer,26500.24,Online
TX00249,AC0159,2024-10-14,withdrawal,78239.07,Online
TX00250,AC0167,2024-12-09,withdrawal,97703.34,Online
TX00251,AC0337,2024-10-14,deposit,125477.7,Branch
TX00252,AC0424,2024-01-02,withdrawal,144023.07,ATM
TX00253,AC0073,2024-12-21,transfer,51530.29,Online
TX00254,AC0208,2024-10-29,withdrawal,81902.81,Online
TX00255,AC0223,2024-12-04,withdrawal,14477.86,Mobile App
TX00256,AC0294,2024-07-12,withdrawal,61335.28,ATM
TX00257,AC0473,2024-04-20,deposit,84488.21,Mobile App
TX00258,AC0051,2024-12-10,deposit,115090.41,Branch
TX00259,AC0293,2024-06-21,deposit,38163.62,Online
TX00260,AC0398,2024-05-16,transfer,81449.48,Online
TX00261,AC0301,2024-06-08,withdrawal,94093.17,ATM
TX00262,AC0438,2024-01-16,deposit,72023.39,Online
TX00263,AC0001,2024-01-04,transfer,90258.67,Mobile App
TX00264,AC0033,2024-01-29,deposit,125139.69,Mobile App
TX00265,AC0258,2024-04-13,deposit,12641.51,Online
TX00266,AC0417,2024-11-09,withdrawal,123622.3,ATM
TX00267,AC0025,2024-02-03,transfer,79407.95,Branch
TX00268,AC0042,2024-05-30,deposit,128746.6,Branch
TX00269,AC0028,2024-08-20,transfer,116161.32,Online
TX00270,AC0447,2024-10-25,transfer,96489.95,Online
TX00271,AC0026,2024-07-07,withdrawal,95806.68,Branch
TX00272,AC0009,2024-09-10,transfer,66682.89,Branch
TX00273,AC0201,2024-03-24,deposit,107290.15,Mobile App
TX00274,AC0454,2024-03-12,transfer,114563.47,Mobile App
TX00275,AC0344,2024-03-07,deposit,52010.3,ATM
TX00276,AC0382,2024-09-08,transfer,138462.92,ATM
TX00277,AC0083,2024-10-16,deposit,115482.41,Branch
TX00278,AC0012,2024-07-22,withdrawal,10540.14,Online
TX00279,AC0102,2024-04-13,transfer,35200.91,Online
TX00280,AC0489,2024-06-09,withdrawal,107380.38,Online
TX00281,AC0104,2024-06-25,transfer,16752.64,ATM
TX00282,AC0238,2024-01-06,withdrawal,127507.05,Online
TX00283,AC0348,2024-02-22,deposit,90637.61,ATM
TX00284,AC0195,2024-02-27,withdrawal,112675.48,Online
TX00285,AC0423,2024-09-19,withdrawal,20287.26,Mobile App
TX00286,AC0280,2024-10-20,withdrawal,56709.18,Online
TX00287,AC0112,2024-08-17,deposit,133764.38,Branch
TX00288,AC0158,2024-05-15,deposit,109035.0,Online
TX00289,AC0443,2024-10-23,withdrawal,7643.95,Mobile App
TX00290,AC0151,2024-09-18,deposit,145975.25,ATM
TX00291,AC0221,2024-05-21,withdrawal,149241.86,Online
TX00292,AC0232,2024-04-14,withdrawal,124884.06,Mobile App
TX00293,AC0241,2024-09-30,deposit,139188.75,Mobile App
TX00294,AC0380,2024-09-12,deposit,137317.99,ATM
TX00295,AC0008,2024-03-23,deposit,131788.13,Online
TX00296,AC0053,2024-11-17,withdrawal,39534.21,Mobile App
TX00297,AC0088,2024-10-20,withdrawal,110314.92,Mobile App
TX00298,AC0402,2024-12-17,transfer,35462.74,Mobile App
TX00299,AC0444,2024-04-28,withdrawal,131558.14,Online
TX00300,AC0279,2024-12-14,withdrawal,61559.56,Branch
TX00301,AC0118,2024-10-20,transfer,143985.22,ATM
TX00302,AC0253,2024-12-25,transfer,60715.82,ATM
TX00303,AC0233,2024-09-01,deposit,60697.57,Mobile App
TX00304,AC0121,2024-07-26,deposit,129085.11,ATM
TX00305,AC0187,2024-01-02,transfer,81322.79,ATM
TX00306,AC0338,2024-03-28,deposit,33974.28,Branch
TX00307,AC0168,2024-12-11,deposit,13385.27,Mobile App
TX00308,AC0348,2024-12-03,withdrawal,2717.41,Branch
TX00309,AC0277,2024-08-17,deposit,103168.75,Mobile App
TX00310,AC0292,2024-03-17,deposit,78664.2,Online
TX00311,AC0038,2024-10-19,deposit,49445.19,Mobile App
TX00312,AC0497,2024-08-21,deposit,83850.2,Branch
TX00313,AC0121,2024-08-08,withdrawal,117610.73,ATM
TX00314,AC0488,2024-03-22,deposit,133880.4,ATM
TX00315,AC0436,2024-06-18,deposit,142734.3,Online
TX00316,AC0340,2024-10-04,transfer,146263.9,Branch
TX00317,AC0260,2024-05-29,deposit,45071.52,Branch
TX00318,AC0434,2024-11-08,deposit,97266.98,Branch
TX00319,AC0178,2024-08-19,transfer,144383.28,ATM
TX00320,AC0356,2024-12-01,transfer,14204.02,Online
TX00321,AC0121,2024-10-05,transfer,67413.09,Mobile App
TX00322,AC0101,2024-10-03,deposit,4419.57,Mobile App
TX00323,AC0141,2024-07-13,deposit,144546.78,ATM
TX00324,AC0369,2024-11-17,transfer,74487.29,Mobile App
TX00325,AC0197,2024-10-04,deposit,128625.05,Mobile App
TX00326,AC0259,2024-09-11,deposit,125638.23,Online
TX00327,AC0164,2024-09-21,withdrawal,74339.12,ATM
TX00328,AC0405,2024-11-25,withdrawal,102393.63,ATM
TX00329,AC0205,2024-11-25,deposit,102509.64,Online
TX00330,AC0189,2024-01-27,withdrawal,132511.56,Branch
TX00331,AC0387,2024-07-18,transfer,109289.45,Branch
TX00332,AC0352,2024-08-21,deposit,5079.8,ATM
TX00333,AC0086,2024-05-23,deposit,116867.67,Branch
TX00334,AC0437,2024-07-10,withdrawal,38055.26,Mobile App
TX00335,AC0236,2024-10-30,transfer,29818.03,Branch
TX00336,AC0424,2024-11-09,withdrawal,28260.49,Online
TX00337,AC0325,2024-03-09,withdrawal,118535.5,Online
TX00338,AC0444,2024-04-09,deposit,51357.82,Online
TX00339,AC0134,2024-02-10,withdrawal,28396.97,Branch
TX00340,AC0370,2024-09-04,deposit,137136.1,Branch
TX00341,AC0200,2024-03-26,deposit,60845.89,Online
TX00342,AC0445,2024-12-21,withdrawal,51827.09,Branch
TX00343,AC0053,2024-04-24,deposit,84210.06,Mobile App
TX00344,AC0190,2024-07-06,deposit,142768.44,Mobile App
TX00345,AC0266,2024-05-14,transfer,142461.77,Branch
TX00346,AC0009,2024-11-08,withdrawal,113520.19,Branch
TX00347,AC0423,2024-05-13,withdrawal,1636.55,Branch
TX00348,AC0322,2024-11-15,deposit,131723.63,ATM
TX00349,AC0475,2024-02-27,transfer,90050.66,Online
TX00350,AC0025,2024-04-11,withdrawal,87505.56,Branch
TX00351,AC0407,2024-01-20,deposit,125865.14,Online
TX00352,AC0202,2024-06-06,deposit,49124.27,Mobile App
TX00353,AC0056,2024-06-16,withdrawal,30743.43,Online
TX00354,AC0374,2024-03-29,withdrawal,93097.24,Online
TX00355,AC0419,2024-08-02,transfer,109312.33,ATM
TX00356,AC0122,2024-08-06,transfer,127808.12,ATM
TX00357,AC0009,2024-11-13,withdrawal,142933.23,Online
TX00358,AC0357,2024-11-25,deposit,42880.08,ATM
TX00359,AC0019,2024-06-30,deposit,68766.63,ATM
TX00360,AC0357,2024-10-29,transfer,84442.1,Online
TX00361,AC0388,2024-09-01,deposit,41116.46,Online
TX00362,AC0121,2024-09-20,withdrawal,60627.94,Online
TX00363,AC0479,2024-06-18,transfer,62704.42,Branch
TX00364,AC0443,2024-10-25,transfer,118948.19,Mobile App
TX00365,AC0276,2024-08-14,withdrawal,45148.2,Online
TX00366,AC0071,2024-09-09,withdrawal,76776.15,Branch
TX00367,AC0278,2024-11-19,withdrawal,110066.73,Mobile App
TX00368,AC0494,2024-07-05,withdrawal,118247.36,Branch
TX00369,AC0092,2024-09-14,deposit,46028.99,ATM
TX00370,AC0496,2024-02-12,transfer,147815.22,ATM
TX00371,AC0070,2024-01-04,deposit,6909.8,Branch
TX00372,AC0191,2024-11-23,withdrawal,88156.53,Online
TX00373,AC0038,2024-05-01,deposit,96576.25,ATM
TX00374,AC0410,2024-06-15,withdrawal,10851.77,ATM
TX00375,AC0166,2024-06-23,transfer,5551.5,Online
TX00376,AC0325,2024-11-20,transfer,83554.13,Online
TX00377,AC0350,2024-02-21,withdrawal,45837.73,Mobile App
TX00378,AC0198,2024-10-27,transfer,22038.82,Online
TX00379,AC0217,2024-08-17,transfer,108044.44,Branch
TX00380,AC0330,2024-07-30,deposit,112161.57,Online
TX00381,AC0188,2024-09-20,deposit,137926.54,Branch
TX00382,AC0108,2024-02-05,withdrawal,120905.02,Online
TX00383,AC0363,2024-10-05,deposit,110688.4,Online
TX00384,AC0429,2024-02-02,deposit,30427.07,Online
TX00385,AC0450,2024-11-26,deposit,94223.34,ATM
TX00386,AC0031,2024-07-12,deposit,132879.58,Online
TX00387,AC0213,2024-05-14,transfer,24442.54,Mobile App
TX00388,AC0177,2024-01-13,deposit,115156.79,Mobile App
TX00389,AC0266,2024-12-27,deposit,99941.02,Online
TX00390,AC0403,2024-04-02,withdrawal,72271.9,Branch
TX00391,AC0134,2024-07-04,withdrawal,72833.09,Mobile App
TX00392,AC0080,2024-10-19,deposit,49152.42,ATM
TX00393,AC0262,2024-12-08,transfer,57670.71,Online
TX00394,AC0374,2024-02-22,transfer,8437.92,Online
TX00395,AC0368,2024-08-13,deposit,96990.34,Online
TX00396,AC0033,2024-08-22,withdrawal,30149.02,Online
TX00397,AC0475,2024-10-16,deposit,143525.3,ATM
TX00398,AC0167,2024-04-03,deposit,23701.15,Online
TX00399,AC0380,2024-07-29,deposit,143323.62,Mobile App
TX00400,AC0410,2024-06-16,deposit,96233.45,Online
TX00401,AC0284,2024-10-08,deposit,35849.98,Online
TX00402,AC0167,2024-11-30,withdrawal,105519.3,Online
TX00403,AC0405,2024-10-22,withdrawal,48370.45,Branch
TX00404,AC0137,2024-08-01,deposit,73620.93,Mobile App
TX00405,AC0378,2024-09-09,withdrawal,24653.47,Mobile App
TX00406,AC0149,2024-05-06,deposit,85871.04,Branch
TX00407,AC0444,2024-05-09,transfer,91876.32,ATM
TX00408,AC0093,2024-08-16,transfer,901.87,Online
TX00409,AC0226,2024-02-05,deposit,8787.91,Online
TX00410,AC0342,2024-11-01,transfer,114081.97,Mobile App
TX00411,AC0369,2024-02-27,withdrawal,73803.96,Branch
TX00412,AC0071,2024-10-23,withdrawal,20034.92,ATM
TX00413,AC0416,2024-12-11,deposit,20640.09,Branch
TX00414,AC0204,2024-01-28,withdrawal,26403.32,ATM
TX00415,AC0136,2024-10-10,transfer,91183.7,Mobile App
TX00416,AC0266,2024-09-14,transfer,52722.28,Online
TX00417,AC0355,2024-12-26,withdrawal,100268.51,Branch
TX00418,AC0095,2024-05-01,transfer,138683.24,ATM
TX00419,AC0104,2024-01-09,withdrawal,146709.48,Online
TX00420,AC0473,2024-07-17,deposit,122293.57,Branch
TX00421,AC0057,2024-08-23,deposit,52359.68,Online
TX00422,AC0489,2024-04-17,deposit,3914.67,Online
TX00423,AC0330,2024-10-22,deposit,116993.47,Branch
TX00424,AC0340,2024-01-13,deposit,45767.2,Mobile App
TX00425,AC0142,2024-11-30,withdrawal,8974.95,Online
TX00426,AC0467,2024-01-03,transfer,148830.68,ATM
TX00427,AC0108,2024-12-17,transfer,14392.92,ATM
TX00428,AC0075,2024-07-22,deposit,95176.96,Online
TX00429,AC0060,2024-04-16,deposit,18152.84,Mobile App
TX00430,AC0210,2024-08-26,deposit,8498.77,ATM
TX00431,AC0060,2024-02-27,transfer,60703.1,Online
TX00432,AC0468,2024-04-02,deposit,18583.04,ATM
TX00433,AC0229,2024-03-10,withdrawal,99426.79,Mobile App
TX00434,AC0478,2024-05-07,withdrawal,138859.71,Online
TX00435,AC0019,2024-05-30,withdrawal,65001.56,Branch
TX00436,AC0107,2024-10-01,deposit,99220.41,Mobile App
TX00437,AC0334,2024-12-06,withdrawal,116608.99,ATM
TX00438,AC0077,2024-05-24,deposit,15518.57,Branch
TX00439,AC0012,2024-10-12,transfer,93989.58,Online
TX00440,AC0473,2024-06-21,deposit,86676.22,Branch
TX00441,AC0069,2024-03-17,withdrawal,56648.75,ATM
TX00442,AC0431,2024-10-29,withdrawal,105243.54,Branch
TX00443,AC0496,2024-06-28,transfer,126027.09,ATM
TX00444,AC0415,2024-12-01,deposit,120901.64,Online
TX00445,AC0367,2024-12-07,withdrawal,19666.4,Mobile App
TX00446,AC0422,2024-01-09,deposit,34715.05,Mobile App
TX00447,AC0061,2024-03-13,withdrawal,29018.09,Branch
TX00448,AC0282,2024-06-16,withdrawal,58411.63,Online
TX00449,AC0109,2024-01-14,withdrawal,141256.14,Online
TX00450,AC0014,2024-03-13,transfer,139562.69,Mobile App
TX00451,AC0064,2024-07-04,deposit,72156.92,Mobile App
TX00452,AC0143,2024-01-31,deposit,90060.49,ATM
