deposit_id,teller_id,branch_id,date,amount_received,amount_recorded
DP0085,TL03,BR05,2024-07-06,126500,126500
DP0086,TL12,BR02,2024-12-15,27000,27000
DP0087,TL07,BR01,2024-02-06,141000,141000
DP0088,TL03,BR05,2024-02-25,90000,90000
DP0089,TL07,BR01,2024-05-07,22500,22500
DP0090,TL01,BR06,2024-10-16,29500,29500
DP0091,TL10,BR01,2024-01-15,186500,186500
DP0092,TL10,BR01,2024-08-31,59000,59000
DP0093,TL11,BR02,2024-06-21,53500,53500
DP0094,TL07,BR01,2024-05-03,167000,167000
DP0095,TL07,BR01,2024-01-31,23000,23000
DP0096,TL11,BR02,2024-03-03,93500,93500
DP0097,TL08,BR02,2024-05-22,154500,154500
DP0098,TL01,BR06,2024-09-04,51500,51500
DP0099,TL07,BR01,2024-06-11,188000,183000
DP0100,TL06,BR03,2024-09-05,153000,153000
DP0101,TL06,BR03,2024-11-21,50500,50500
DP0102,TL09,BR07,2024-04-28,159500,159500
DP0103,TL06,BR03,2024-10-15,99500,99500
DP0104,TL03,BR05,2024-08-13,139000,139000
DP0105,TL12,BR02,2024-08-02,72000,72000
DP0106,TL02,BR01,2024-11-19,31500,31500
DP0107,TL08,BR02,2024-03-20,45000,45000
DP0108,TL10,BR01,2024-07-12,159500,159500
DP0109,TL06,BR03,2024-06-18,80000,80000
DP0110,TL09,BR07,2024-03-29,154000,154000
DP0111,TL10,BR01,2024-06-14,103000,103000
DP0112,TL10,BR01,2024-03-13,94500,94500
DP0113,TL05,BR03,2024-12-02,87000,87000
DP0114,TL11,BR02,2024-06-17,102500,102500
DP0115,TL11,BR02,2024-12-09,138500,138500
DP0116,TL09,BR07,2024-03-24,26500,26500
DP0117,TL08,BR02,2024-03-28,24000,24000
DP0118,TL08,BR02,2024-12-18,59500,59500
DP0119,TL04,BR04,2024-11-22,49000,49000
DP0120,TL02,BR01,2024-04-03,164000,164000
DP0121,TL08,BR02,2024-08-22,191000,191000
DP0122,TL03,BR05,2024-08-26,124500,124500
DP0123,TL07,BR01,2024-05-02,93000,92000
DP0124,TL10,BR01,2024-09-05,135500,135500
DP0125,TL09,BR07,2024-11-11,169500,169500
DP0126,TL12,BR02,2024-06-05,87500,87500
DP0127,TL03,BR05,2024-12-08,7000,7000
DP0128,TL05,BR03,2024-05-28,100500,100500
DP0129,TL08,BR02,2024-09-23,39500,39500
DP0130,TL07,BR01,2024-08-04,148500,146500
DP0131,TL07,BR01,2024-02-29,14000,9000
DP0132,TL09,BR07,2024-04-17,79500,79500
DP0133,TL02,BR01,2024-07-13,200000,200000
DP0134,TL09,BR07,2024-02-17,126500,126500
DP0135,TL04,BR04,2024-07-13,38000,38000
DP0136,TL09,BR07,2024-09-27,66500,66500
DP0137,TL06,BR03,2024-04-16,49000,49000
DP0138,TL09,BR07,2024-05-13,28500,28500
DP0139,TL01,BR06,2024-08-15,137500,137500
DP0140,TL02,BR01,2024-04-04,126000,126000
DP0141,TL10,BR01,2024-06-03,165500,165500
DP0142,TL01,BR06,2024-07-23,127000,127000
DP0143,TL02,BR01,2024-09-24,20500,20500
DP0144,TL08,BR02,2024-10-08,144500,144500
DP0145,TL07,BR01,2024-07-31,140000,138000
DP0146,TL03,BR05,2024-02-07,7000,7000
DP0147,TL09,BR07,2024-06-08,174500,174500
DP0148,TL04,BR04,2024-09-20,77500,77500
DP0149,TL12,BR02,2024-12-13,101500,101500
DP0150,TL11,BR02,2024-11-28,12500,12500
DP0151,TL06,BR03,2024-02-12,178000,178000
DP0152,TL11,BR02,2024-02-28,32500,32500
DP0153,TL03,BR05,2024-03-09,17000,17000
DP0154,TL09,BR07,2024-10-07,137000,137000
DP0155,TL06,BR03,2024-01-10,58000,58000
DP0156,TL11,BR02,2024-10-18,38000,38000
DP0157,TL08,BR02,2024-03-26,180000,180000
DP0158,TL05,BR03,2024-08-10,193000,194000
DP0159,TL04,BR04,2024-11-14,44000,44000
DP0160,TL06,BR03,2024-11-09,92500,92500
DP0161,TL08,BR02,2024-06-15,96000,96000
DP0162,TL01,BR06,2024-09-28,145500,145500
DP0163,TL10,BR01,2024-06-01,143000,143000
DP0164,TL10,BR01,2024-01-30,144000,144000
DP0165,TL06,BR03,2024-12-04,62000,62000
DP0166,TL12,BR02,2024-02-14,53000,53000
DP0167,TL02,BR01,2024-08-08,157000,157000
DP0168,TL11,BR02,2024-01-24,88000,88000
DP0169,TL07,BR01,2024-01-27,57000,57000
DP0170,TL11,BR02,2024-09-02,81500,81500
DP0171,TL04,BR04,2024-02-18,57000,57000
DP0172,TL11,BR02,2024-03-24,123500,123500
DP0173,TL09,BR07,2024-08-27,52500,52500
DP0174,TL09,BR07,2024-06-21,199500,199500
DP0175,TL04,BR04,2024-12-15,174500,174500
DP0176,TL03,BR05,2024-08-17,136500,136500
DP0177,TL03,BR05,2024-07-29,30000,30000
DP0178,TL04,BR04,2024-02-06,46000,46000
DP0179,TL06,BR03,2024-12-16,121000,121000
DP0180,TL08,BR02,2024-12-01,133000,133000
DP0181,TL07,BR01,2024-11-28,52000,51000
DP0182,TL10,BR01,2024-12-25,37500,37500
DP0183,TL03,BR05,2024-10-27,186000,186000
DP0184,TL11,BR02,2024-08-29,44500,44500
DP0185,TL12,BR02,2024-03-12,125000,125000
DP0186,TL03,BR05,2024-08-23,23500,23500
DP0187,TL10,BR01,2024-04-27,178500,178500
DP0188,TL03,BR05,2024-03-15,127500,127500
DP0189,TL05,BR03,2024-05-06,133000,133000
DP0190,TL09,BR07,2024-02-10,162000,162000
DP0191,TL07,BR01,2024-10-06,42500,42500
DP0192,TL10,BR01,2024-11-03,172000,172000
DP0193,TL01,BR06,2024-03-05,116000,116000
DP0194,TL04,BR04,2024-10-12,162000,162000
DP0195,TL03,BR05,2024-01-10,173000,173000
DP0196,TL01,BR06,2024-03-13,32000,32000
DP0197,TL07,BR01,2024-11-29,77500,77500
DP0198,TL12,BR02,2024-09-18,138000,138000
DP0199,TL03,BR05,2024-03-24,76500,76500
DP0200,TL07,BR01,2024-01-06,7500,7500
DP0201,TL03,BR05,2024-05-16,28500,28500
DP0202,TL06,BR03,2024-07-02,68000,68000
DP0203,TL02,BR01,2024-08-12,169000,169000
DP0204,TL10,BR01,2024-12-24,191000,191000
DP0205,TL07,BR01,2024-07-04,105000,105000
DP0206,TL02,BR01,2024-04-27,28000,28000
DP0207,TL12,BR02,2024-05-11,84000,84000
DP0208,TL08,BR02,2024-03-02,123000,123000
DP0209,TL02,BR01,2024-08-12,103000,102500
DP0210,TL08,BR02,2024-07-20,174500,174500
DP0211,TL12,BR02,2024-12-20,196500,196500
DP0212,TL02,BR01,2024-03-21,24500,24500
DP0213,TL10,BR01,2024-08-17,115000,115000
DP0214,TL05,BR03,2024-04-30,142000,142000
DP0215,TL01,BR06,2024-06-10,1500,1500
DP0216,TL08,BR02,2024-12-31,101000,101000
DP0217,TL03,BR05,2024-07-30,35500,35500
DP0218,TL03,BR05,2024-07-14,21000,21000
DP0219,TL01,BR06,2024-06-30,82500,82500
DP0220,TL02,BR01,2024-01-11,80000,80000
DP0221,TL02,BR01,2024-05-16,87000,87000
DP0222,TL04,BR04,2024-04-15,16000,16000
DP0223,TL12,BR02,2024-04-26,159000,159000
DP0224,TL05,BR03,2024-12-16,28500,28500
DP0225,TL11,BR02,2024-01-12,186000,186000
DP0226,TL06,BR03,2024-07-07,138000,138000
DP0227,TL04,BR04,2024-11-14,45000,45000
DP0228,TL02,BR01,2024-10-13,24000,24000
DP0229,TL06,BR03,2024-11-17,123000,123000
DP0230,TL03,BR05,2024-08-06,185000,185000
DP0231,TL02,BR01,2024-06-05,48500,48500
DP0232,TL08,BR02,2024-02-01,194000,194000
DP0233,TL01,BR06,2024-09-19,122000,122000
DP0234,TL12,BR02,2024-12-27,62500,62500
DP0235,TL01,BR06,2024-08-03,80500,80500
DP0236,TL11,BR02,2024-06-17,107000,107000
DP0237,TL02,BR01,2024-12-11,11000,11000
DP0238,TL02,BR01,2024-11-24,16000,16000
DP0239,TL07,BR01,2024-09-27,200000,200000
DP0240,TL08,BR02,2024-10-23,128000,128000
DP0241,TL04,BR04,2024-03-08,141000,141000
DP0242,TL11,BR02,2024-08-26,51000,51000
DP0243,TL06,BR03,2024-04-29,44500,44500
DP0244,TL08,BR02,2024-02-07,72500,72500
DP0245,TL04,BR04,2024-11-13,38500,38500
DP0246,TL01,BR06,2024-11-26,44500,44500
DP0247,TL07,BR01,2024-12-05,58000,58000
DP0248,TL07,BR01,2024-10-08,42500,40500
DP0249,TL08,BR02,2024-08-12,82500,82500
DP0250,TL03,BR05,2024-10-03,6000,6000
DP0251,TL02,BR01,2024-05-11,64000,64000
DP0252,TL12,BR02,2024-08-19,106000,106000
DP0253,TL06,BR03,2024-08-10,161000,161000
DP0254,TL11,BR02,2024-01-03,17500,17500
DP0255,TL02,BR01,2024-09-24,164500,164500
DP0256,TL02,BR01,2024-01-17,138000,138000
DP0257,TL03,BR05,2024-02-01,196500,196500
DP0258,TL01,BR06,2024-08-12,32500,32500
DP0259,TL10,BR01,2024-07-15,8500,8500
DP0260,TL01,BR06,2024-04-12,46000,46000
DP0261,TL07,BR01,2024-07-12,27500,25500
DP0262,TL09,BR07,2024-04-16,49000,49000
DP0263,TL06,BR03,2024-03-21,63500,63500
DP0264,TL04,BR04,2024-08-20,186500,186500
DP0265,TL04,BR04,2024-02-28,196500,196500
DP0266,TL09,BR07,2024-10-20,16000,16000
DP0267,TL03,BR05,2024-07-11,111500,111500
DP0268,TL06,BR03,2024-11-02,32000,32000
DP0269,TL09,BR07,2024-08-09,128000,128000
DP0270,TL01,BR06,2024-05-16,174500,174500
DP0271,TL08,BR02,2024-06-18,115500,115500
DP0272,TL05,BR03,2024-12-18,1000,1000
DP0273,TL09,BR07,2024-03-05,108500,108500
DP0274,TL02,BR01,2024-01-15,10500,10500
DP0275,TL09,BR07,2024-04-28,166500,166500
DP0276,TL03,BR05,2024-11-04,12000,13000
DP0277,TL10,BR01,2024-06-26,123000,123000
DP0278,TL02,BR01,2024-03-30,163000,163000
DP0279,TL05,BR03,2024-11-10,152000,152000
DP0280,TL08,BR02,2024-09-07,46500,46500
DP0281,TL06,BR03,2024-01-19,145000,145000
DP0282,TL02,BR01,2024-07-22,117000,117000
DP0283,TL04,BR04,2024-12-28,146000,146000
DP0284,TL11,BR02,2024-05-31,81000,81000
DP0285,TL08,BR02,2024-07-21,35500,35500
DP0286,TL05,BR03,2024-03-13,161500,161500
DP0287,TL02,BR01,2024-02-04,178000,178000
DP0288,TL04,BR04,2024-10-25,191500,191500
DP0289,TL07,BR01,2024-12-21,32000,31500
DP0290,TL10,BR01,2024-09-03,25500,25500
DP0291,TL09,BR07,2024-05-05,174000,174000
DP0292,TL06,BR03,2024-08-10,107500,107500
DP0293,TL03,BR05,2024-10-04,176000,176000
DP0294,TL10,BR01,2024-05-15,189500,189500
DP0295,TL05,BR03,2024-08-23,75000,75000
DP0296,TL05,BR03,2024-03-16,127500,127500
DP0297,TL09,BR07,2024-04-27,51500,51500
DP0298,TL04,BR04,2024-01-06,156000,156000
DP0299,TL01,BR06,2024-11-05,148500,148500
DP0300,TL09,BR07,2024-08-23,161500,161500
DP0301,TL08,BR02,2024-11-10,45500,45500
DP0302,TL10,BR01,2024-03-02,168000,168000
DP0303,TL05,BR03,2024-09-15,139500,139500
DP0304,TL07,BR01,2024-10-21,185500,185500
DP0305,TL06,BR03,2024-12-29,84000,84000
DP0306,TL05,BR03,2024-11-09,168500,168500
DP0307,TL06,BR03,2024-01-07,158000,158000
DP0308,TL08,BR02,2024-05-23,45500,45500
DP0309,TL08,BR02,2024-09-19,7500,7500
DP0310,TL12,BR02,2024-10-04,34000,34000
DP0311,TL06,BR03,2024-12-11,42000,42000
DP0312,TL10,BR01,2024-02-16,189500,189500
DP0313,TL09,BR07,2024-03-12,147500,147500
DP0314,TL05,BR03,2024-09-17,184000,184000
DP0315,TL07,BR01,2024-10-12,2500,1500
DP0316,TL07,BR01,2024-02-22,175000,175000
DP0317,TL04,BR04,2024-05-23,178000,178000
DP0318,TL08,BR02,2024-04-22,91500,91500
DP0319,TL09,BR07,2024-12-02,28000,28000
DP0320,TL06,BR03,2024-08-16,144000,144000
DP0321,TL02,BR01,2024-01-17,111000,111000
DP0322,TL09,BR07,2024-08-04,35000,35000
DP0323,TL10,BR01,2024-05-03,164000,164000
DP0324,TL04,BR04,2024-06-02,187500,187500
DP0325,TL12,BR02,2024-07-27,156500,156500
DP0326,TL12,BR02,2024-10-25,68500,68500
DP0327,TL09,BR07,2024-12-21,32000,32000
DP0328,TL07,BR01,2024-12-28,100500,100000
DP0329,TL04,BR04,2024-03-25,21000,20000
DP0330,TL09,BR07,2024-09-18,175500,175500
DP0331,TL11,BR02,2024-09-04,27000,27000
DP0332,TL10,BR01,2024-05-22,59000,59000
DP0333,TL11,BR02,2024-01-12,167000,167000
DP0334,TL05,BR03,2024-07-03,2000,2000
DP0335,TL10,BR01,2024-06-22,49000,49000
DP0336,TL12,BR02,2024-01-24,131000,131000
DP0337,TL11,BR02,2024-11-29,8500,8500
DP0338,TL07,BR01,2024-08-10,117500,117500
DP0339,TL09,BR07,2024-03-18,188000,188000
DP0340,TL01,BR06,2024-10-05,135000,135000
DP0341,TL11,BR02,2024-07-19,96500,96500
DP0342,TL09,BR07,2024-03-07,105500,105500
DP0343,TL06,BR03,2024-11-28,141000,141000
DP0344,TL09,BR07,2024-11-05,152000,152000
DP0345,TL01,BR06,2024-01-30,95500,95500
DP0346,TL05,BR03,2024-02-25,135500,135500
DP0347,TL10,BR01,2024-06-16,72500,72500
DP0348,TL01,BR06,2024-02-05,198000,198000
DP0349,TL03,BR05,2024-01-12,65000,65000
DP0350,TL02,BR01,2024-12-08,106500,106500
DP0351,TL10,BR01,2024-02-19,152000,152000
DP0352,TL09,BR07,2024-11-02,57000,57000
DP0353,TL09,BR07,2024-09-20,119500,119500
DP0354,TL02,BR01,2024-07-05,129000,129000
DP0355,TL09,BR07,2024-06-14,145500,145500
DP0356,TL07,BR01,2024-12-11,14000,14000
DP0357,TL12,BR02,2024-08-08,10500,10500
DP0358,TL09,BR07,2024-02-27,200000,200000
DP0359,TL01,BR06,2024-12-08,92000,92000
DP0360,TL06,BR03,2024-01-27,80000,80000
DP0361,TL05,BR03,2024-12-26,170000,170000
DP0362,TL06,BR03,2024-02-15,142000,142000
DP0363,TL07,BR01,2024-02-21,166500,164500
DP0364,TL05,BR03,2024-09-10,21000,21000
DP0365,TL02,BR01,2024-06-24,181500,181500
DP0366,TL08,BR02,2024-02-02,172000,172000
DP0367,TL09,BR07,2024-01-02,115000,115000
DP0368,TL09,BR07,2024-04-09,82000,82000
DP0369,TL06,BR03,2024-03-05,147500,147500
DP0370,TL08,BR02,2024-06-24,41500,41500
DP0371,TL08,BR02,2024-03-29,97000,97000
DP0372,TL07,BR01,2024-02-26,7000,7000
DP0373,TL04,BR04,2024-12-20,19500,19500
DP0374,TL01,BR06,2024-11-18,24500,24500
DP0375,TL08,BR02,2024-02-27,59000,59000
DP0376,TL05,BR03,2024-07-25,117000,117000
DP0377,TL01,BR06,2024-02-18,47000,47000
DP0378,TL12,BR02,2024-05-10,52000,52000
DP0379,TL09,BR07,2024-12-17,188500,188500
DP0380,TL03,BR05,2024-06-29,155500,155500
DP0381,TL04,BR04,2024-01-27,145500,145500
DP0382,TL07,BR01,2024-12-09,183500,183500
DP0383,TL02,BR01,2024-09-20,40000,40000
DP0384,TL08,BR02,2024-09-08,65500,65500
DP0385,TL09,BR07,2024-09-21,66000,66000
DP0386,TL05,BR03,2024-02-07,61500,61500
DP0387,TL11,BR02,2024-04-05,55500,55500
DP0388,TL09,BR07,2024-08-04,83000,83000
DP0389,TL01,BR06,2024-11-06,100000,100000
DP0390,TL01,BR06,2024-04-13,128000,128000
DP0391,TL08,BR02,2024-03-11,70000,70000
DP0392,TL03,BR05,2024-12-20,147000,147000
DP0393,TL08,BR02,2024-12-21,48000,48000
DP0394,TL03,BR05,2024-06-07,179000,179000
DP0395,TL11,BR02,2024-02-25,28000,28000
DP0396,TL09,BR07,2024-09-01,182000,182000
DP0397,TL09,BR07,2024-02-22,29000,29000
DP0398,TL09,BR07,2024-06-20,5000,5000
DP0399,TL12,BR02,2024-05-26,90500,90500
DP0400,TL10,BR01,2024-04-12,164500,164500
DP0401,TL03,BR05,2024-03-15,112000,112000
DP0402,TL12,BR02,2024-04-02,149000,149000
DP0403,TL09,BR07,2024-03-29,149000,149000
DP0404,TL09,BR07,2024-03-07,100500,100500
DP0405,TL08,BR02,2024-01-15,37500,37500
DP0406,TL09,BR07,2024-07-10,36000,36000
DP0407,TL04,BR04,2024-07-24,77500,77500
DP0408,TL12,BR02,2024-06-04,114500,114500
DP0409,TL09,BR07,2024-05-29,20500,20500
DP0410,TL11,BR02,2024-02-20,28500,28000
DP0411,TL05,BR03,2024-02-28,140500,140500
DP0412,TL08,BR02,2024-05-18,100500,100500
DP0413,TL02,BR01,2024-09-19,130000,130000
DP0414,TL03,BR05,2024-06-18,115000,115000
DP0415,TL02,BR01,2024-04-09,171000,171000
DP0416,TL08,BR02,2024-12-10,35000,35000
DP0417,TL01,BR06,2024-09-26,166000,166000
DP0418,TL10,BR01,2024-03-04,66000,66000
DP0419,TL04,BR04,2024-03-24,99000,99000
DP0420,TL02,BR01,2024-03-24,14000,14000
DP0421,TL04,BR04,2024-01-25,128500,128500
DP0422,TL02,BR01,2024-10-04,119000,119000
DP0423,TL03,BR05,2024-04-05,98000,98000
DP0424,TL11,BR02,2024-06-19,37500,37500
DP0425,TL04,BR04,2024-09-30,6500,6500
DP0426,TL03,BR05,2024-07-09,91500,91500
DP0427,TL07,BR01,2024-03-18,66500,66500
DP0428,TL11,BR02,2024-04-26,175000,175000
DP0429,TL08,BR02,2024-05-22,194500,194500
DP0430,TL02,BR01,2024-11-21,90500,90500
DP0431,TL01,BR06,2024-12-27,140500,140500
DP0432,TL11,BR02,2024-01-07,133000,133000
DP0433,TL06,BR03,2024-09-14,193000,193000
DP0434,TL12,BR02,2024-12-20,127000,127000
DP0435,TL07,BR01,2024-05-15,34000,32000
DP0436,TL06,BR03,2024-03-25,120000,120000
DP0437,TL02,BR01,2024-11-09,181000,181000
DP0438,TL11,BR02,2024-08-13,164500,164500
DP0439,TL03,BR05,2024-03-24,8500,8500
DP0440,TL09,BR07,2024-08-24,18000,18000
DP0441,TL07,BR01,2024-04-17,46500,46000
DP0442,TL12,BR02,2024-11-18,188500,188500
DP0443,TL07,BR01,2024-05-14,175000,175000
DP0444,TL10,BR01,2024-01-12,143500,143500
DP0445,TL10,BR01,2024-11-28,12000,12000
DP0446,TL10,BR01,2024-10-12,124500,124500
DP0447,TL03,BR05,2024-06-19,196500,196500
DP0448,TL06,BR03,2024-10-15,66500,66500
DP0449,TL11,BR02,2024-07-19,158500,158500
DP0450,TL07,BR01,2024-08-06,30000,30000
DP0451,TL11,BR02,2024-11-18,75500,75500
DP0452,TL04,BR04,2024-09-25,96000,96000
DP0453,TL08,BR02,2024-04-01,40500,40500
DP0454,TL02,BR01,2024-12-24,171000,171000
DP0455,TL12,BR02,2024-10-23,157000,157000
DP0456,TL09,BR07,2024-11-13,3000,3000
DP0457,TL01,BR06,2024-02-04,106500,106500
DP0458,TL06,BR03,2024-12-14,36500,36500
DP0459,TL05,BR03,2024-06-19,40000,40000
DP0460,TL02,BR01,2024-05-08,159000,159000
DP0461,TL04,BR04,2024-08-12,44500,44500
DP0462,TL07,BR01,2024-08-31,181000,181000
DP0463,TL10,BR01,2024-03-14,74000,74500
DP0464,TL05,BR03,2024-10-29,171000,171000
DP0465,TL04,BR04,2024-04-10,85000,85000
DP0466,TL09,BR07,2024-09-07,90500,90500
DP0467,TL03,BR05,2024-04-23,64000,64000
DP0468,TL07,BR01,2024-05-19,66500,66500
DP0469,TL09,BR07,2024-05-09,72500,72500
DP0470,TL06,BR03,2024-12-27,65000,65000
DP0471,TL11,BR02,2024-08-25,135500,135500
DP0472,TL06,BR03,2024-05-21,196000,196000
DP0473,TL07,BR01,2024-05-08,176500,176500
DP0474,TL01,BR06,2024-08-04,108500,108500
DP0475,TL05,BR03,2024-08-06,135500,135500
DP0476,TL04,BR04,2024-06-12,98000,98000
DP0477,TL08,BR02,2024-12-27,10000,10000
DP0478,TL07,BR01,2024-09-10,28500,28500
DP0479,TL02,BR01,2024-01-15,41500,41500
DP0480,TL09,BR07,2024-10-12,79500,79500
DP0481,TL11,BR02,2024-04-16,177500,177500
DP0482,TL10,BR01,2024-01-29,62000,62000
DP0483,TL08,BR02,2024-09-16,26000,26000
DP0484,TL06,BR03,2024-08-17,69500,69500
DP0485,TL11,BR02,2024-04-23,39000,39000
DP0486,TL07,BR01,2024-10-20,17000,17000
DP0487,TL08,BR02,2024-12-08,95500,95500
DP0488,TL03,BR05,2024-09-30,59500,59500
DP0489,TL01,BR06,2024-04-11,64000,64000
DP0490,TL07,BR01,2024-10-14,115500,115500
DP0491,TL07,BR01,2024-03-11,189000,189000
DP0492,TL06,BR03,2024-04-07,58000,58000
DP0493,TL07,BR01,2024-04-02,150500,150500
DP0494,TL03,BR05,2024-12-30,96000,96000
DP0495,TL11,BR02,2024-02-28,61500,61500
DP0496,TL12,BR02,2024-05-11,37500,37500
DP0497,TL08,BR02,2024-03-01,26000,26000
DP0498,TL04,BR04,2024-05-24,144500,144500
DP0499,TL01,BR06,2024-04-11,153000,153000
DP0500,TL04,BR04,2024-01-17,53500,53500
DP0501,TL03,BR05,2024-01-30,94500,94500
DP0502,TL12,BR02,2024-11-16,136000,136000
DP0503,TL08,BR02,2024-10-07,114000,114000
DP0504,TL12,BR02,2024-05-17,67500,67500
DP0505,TL09,BR07,2024-10-31,162500,162500
DP0506,TL02,BR01,2024-08-02,5500,5500
DP0507,TL12,BR02,2024-08-08,42000,42000
DP0508,TL02,BR01,2024-10-13,111500,111500
DP0509,TL10,BR01,2024-08-21,112000,112000
DP0510,TL07,BR01,2024-10-01,9500,8500
DP0511,TL10,BR01,2024-11-05,66500,66500
DP0512,TL09,BR07,2024-02-24,47500,47500
DP0513,TL02,BR01,2024-10-15,165000,165000
DP0514,TL11,BR02,2024-07-08,62000,62000
DP0515,TL02,BR01,2024-05-02,199000,199000
DP0516,TL11,BR02,2024-07-24,67500,67500
DP0517,TL02,BR01,2024-06-25,30000,30000
DP0518,TL04,BR04,2024-07-26,125000,125000
DP0519,TL01,BR06,2024-02-13,42000,42000
DP0520,TL03,BR05,2024-09-12,111000,111000
DP0521,TL07,BR01,2024-02-07,42500,42500
DP0522,TL04,BR04,2024-05-08,1000,1000
DP0523,TL03,BR05,2024-06-06,156500,156500
DP0524,TL07,BR01,2024-09-10,51000,51000
DP0525,TL07,BR01,2024-08-01,124000,124000
DP0526,TL10,BR01,2024-02-21,41500,41500
DP0527,TL11,BR02,2024-02-05,60500,60500
DP0528,TL05,BR03,2024-11-05,65500,65500
DP0529,TL02,BR01,2024-09-13,116000,116000
DP0530,TL01,BR06,2024-03-14,32000,32000
DP0531,TL09,BR07,2024-06-13,47500,47500
DP0532,TL09,BR07,2024-09-06,73000,73000
DP0533,TL06,BR03,2024-02-24,24000,24000
DP0534,TL09,BR07,2024-05-30,148000,148000
DP0535,TL06,BR03,2024-12-16,6000,6000
DP0536,TL08,BR02,2024-08-13,32500,32500
