account_id,customer_id,account_type,balance,opened_date
AC0103,CU0122,Savings,77849.06,2023-09-26
AC0104,CU0005,Savings,431981.51,2023-02-09
AC0105,CU0175,Savings,368515.26,2024-10-04
AC0106,CU0321,Savings,78965.65,2024-10-09
AC0107,CU0170,Current,315870.46,2023-10-25
AC0108,CU0029,Savings,306670.03,2022-11-24
AC0109,CU0382,Savings,100561.13,2015-11-29
AC0110,CU0047,Savings,46760.24,2015-01-16
AC0111,CU0120,Current,396004.77,2017-05-11
AC0112,CU0199,Savings,358772.61,2018-08-05
AC0113,CU0363,Fixed Deposit,1653346.76,2020-07-21
AC0114,CU0375,Savings,235136.02,2022-08-01
AC0115,CU0260,Savings,221815.65,2015-01-26
AC0116,CU0102,Savings,88749.61,2017-12-14
AC0117,CU0295,Savings,439210.15,2017-02-14
AC0118,CU0039,Savings,351731.18,2017-02-09
AC0119,CU0388,Savings,424459.54,2017-07-21
AC0120,CU0304,Savings,197939.32,2018-04-30
AC0121,CU0147,Current,253820.57,2017-06-12
AC0122,CU0177,Current,126223.95,2023-04-01
AC0123,CU0336,Savings,265744.87,2024-12-26
AC0124,CU0083,Savings,141443.12,2015-09-22
AC0125,CU0177,Savings,32328.71,2023-03-22
AC0126,CU0221,Savings,310302.85,2015-11-24
AC0127,CU0382,Current,6987.47,2022-07-25
AC0128,CU0395,Savings,159880.63,2019-01-20
AC0129,CU0373,Savings,285031.36,2024-06-01
AC0130,CU0381,Current,225942.69,2024-02-04
AC0131,CU0154,Current,185851.25,2023-07-24
AC0132,CU0382,Current,157423.86,2017-02-18
AC0133,CU0022,Savings,294027.33,2022-09-30
AC0134,CU0237,Current,205456.47,2018-08-21
AC0135,CU0238,Current,232348.31,2020-01-27
AC0136,CU0385,Savings,71899.36,2019-04-29
AC0137,CU0072,Current,474867.42,2023-11-03
AC0138,CU0324,Current,191347.22,2016-09-03
AC0139,CU0223,Current,183489.31,2023-11-16
AC0140,CU0095,Savings,76368.29,2017-06-07
AC0141,CU0242,Savings,9178.29,2016-09-05
AC0142,CU0012,Savings,169320.29,2020-07-30
AC0143,CU0282,Current,79999.85,2018-02-11
AC0144,CU0311,Savings,95783.08,2023-02-12
AC0145,CU0082,Current,216995.27,2020-06-19
AC0146,CU0055,Savings,177331.33,2015-10-02
AC0147,CU0312,Current,353306.03,2018-03-31
AC0148,CU0254,Savings,118341.06,2024-01-05
AC0149,CU0007,Savings,208756.36,2018-06-15
AC0150,CU0160,Savings,169951.67,2022-09-02
AC0151,CU0307,Current,306201.75,2016-06-14
AC0152,CU0353,Fixed Deposit,1477037.83,2024-09-09
AC0153,CU0243,Savings,185414.2,2015-09-16
AC0154,CU0214,Savings,224092.03,2017-10-05
AC0155,CU0353,Savings,472343.8,2017-08-14
AC0156,CU0244,Current,317301.84,2023-10-28
AC0157,CU0296,Savings,277942.88,2023-11-26
AC0158,CU0066,Current,349466.44,2018-08-11
AC0159,CU0313,Savings,354344.34,2017-08-28
AC0160,CU0241,Savings,244805.37,2024-12-26
AC0161,CU0049,Savings,157416.56,2019-04-23
AC0162,CU0042,Savings,312179.89,2020-12-07
AC0163,CU0373,Current,231881.94,2017-12-25
AC0164,CU0399,Savings,225292.98,2017-03-02
AC0165,CU0187,Savings,356241.9,2024-07-04
AC0166,CU0115,Savings,237399.72,2022-02-06
AC0167,CU0318,Savings,164279.97,2020-05-30
AC0168,CU0164,Fixed Deposit,618239.38,2020-06-08
AC0169,CU0275,Current,302780.74,2017-03-30
AC0170,CU0306,Savings,478905.12,2021-10-14
AC0171,CU0032,Savings,148514.17,2023-04-01
AC0172,CU0259,Savings,262227.59,2018-03-02
AC0173,CU0217,Savings,395563.94,2022-11-09
AC0174,CU0105,Savings,149790.33,2016-08-13
AC0175,CU0334,Savings,13616.56,2022-03-22
AC0176,CU0239,Current,40276.13,2023-09-13
AC0177,CU0196,Savings,223895.86,2021-03-24
AC0178,CU0389,Savings,297328.69,2018-07-10
AC0179,CU0234,Savings,468514.59,2018-02-04
AC0180,CU0233,Savings,353442.07,2018-03-12
AC0181,CU0166,Savings,293653.69,2015-03-11
AC0182,CU0168,Savings,27159.32,2021-03-13
AC0183,CU0162,Current,185042.18,2024-04-30
AC0184,CU0322,Current,275513.43,2019-11-14
AC0185,CU0168,Current,198373.31,2021-11-16
AC0186,CU0166,Savings,322166.87,2021-05-05
AC0187,CU0029,Savings,441746.55,2023-02-08
AC0188,CU0035,Savings,248841.63,2016-07-27
AC0189,CU0084,Savings,52024.36,2023-01-02
AC0190,CU0185,Savings,46837.84,2019-01-02
AC0191,CU0176,Current,41498.2,2023-06-03
AC0192,CU0280,Savings,246735.4,2015-09-12
AC0193,CU0356,Fixed Deposit,1600484.52,2016-09-26
AC0194,CU0230,Fixed Deposit,1647291.89,2016-10-13
AC0195,CU0134,Savings,381619.27,2017-07-20
AC0196,CU0350,Savings,29200.58,2021-04-03
AC0197,CU0358,Savings,27189.07,2017-07-12
AC0198,CU0113,Current,22155.02,2023-07-04
AC0199,CU0071,Savings,475033.04,2020-08-12
AC0200,CU0388,Current,162152.18,2022-02-11
AC0201,CU0392,Current,10608.61,2018-04-01
AC0202,CU0366,Current,12733.05,2022-10-26
AC0203,CU0021,Current,275465.51,2017-03-30
AC0204,CU0299,Savings,105209.47,2020-07-06
AC0205,CU0042,Savings,175341.39,2021-07-10
AC0206,CU0085,Current,255065.17,2019-06-15
AC0207,CU0004,Savings,76975.67,2022-01-14
AC0208,CU0192,Savings,133557.71,2020-09-23
AC0209,CU0104,Current,80771.8,2023-06-17
AC0210,CU0168,Savings,167908.38,2017-12-02
AC0211,CU0147,Current,60464.66,2020-01-24
AC0212,CU0334,Savings,223326.18,2022-07-14
AC0213,CU0058,Fixed Deposit,488721.12,2015-06-20
AC0214,CU0381,Current,402513.27,2024-10-20
AC0215,CU0292,Savings,100871.17,2023-04-02
AC0216,CU0346,Savings,416631.92,2017-05-27
AC0217,CU0028,Savings,181108.22,2022-04-07
AC0218,CU0130,Savings,283856.45,2017-06-07
AC0219,CU0093,Fixed Deposit,123484.64,2024-08-25
AC0220,CU0369,Current,103970.0,2019-05-11
AC0221,CU0201,Current,229484.28,2021-10-01
AC0222,CU0246,Savings,460488.66,2021-04-16
AC0223,CU0342,Savings,397706.58,2024-08-12
AC0224,CU0055,Savings,39759.39,2024-12-01
AC0225,CU0318,Savings,426488.02,2015-07-24
AC0226,CU0001,Savings,473446.77,2018-05-27
AC0227,CU0291,Current,191329.04,2016-10-15
AC0228,CU0111,Savings,27715.38,2022-03-30
AC0229,CU0380,Savings,485499.16,2024-10-29
AC0230,CU0214,Current,38973.65,2022-05-01
AC0231,CU0018,Savings,149437.49,2016-05-06
AC0232,CU0234,Savings,71777.2,2024-12-13
AC0233,CU0326,Savings,61042.19,2023-05-07
AC0234,CU0244,Savings,440264.99,2016-12-16
AC0235,CU0372,Savings,57180.8,2017-08-19
AC0236,CU0297,Current,435026.1,2022-10-17
AC0237,CU0289,Fixed Deposit,142862.0,2020-05-18
AC0238,CU0079,Savings,365985.58,2017-06-01
AC0239,CU0194,Savings,199371.93,2015-05-03
AC0240,CU0239,Savings,249214.29,2019-08-17
AC0241,CU0296,Savings,486480.65,2015-06-30
AC0242,CU0144,Savings,479755.01,2022-12-17
AC0243,CU0104,Savings,359716.55,2023-12-29
AC0244,CU0140,Savings,13182.02,2024-10-11
AC0245,CU0230,Savings,118174.43,2024-02-02
AC0246,CU0023,Savings,497922.89,2024-10-17
AC0247,CU0360,Current,279913.25,2020-06-24
AC0248,CU0381,Savings,358069.09,2015-07-13
AC0249,CU0307,Savings,182653.36,2019-02-13
AC0250,CU0279,Current,410536.39,2016-11-02
AC0251,CU0191,Current,329642.07,2023-02-22
AC0252,CU0328,Fixed Deposit,709351.35,2018-11-21
AC0253,CU0206,Current,87807.4,2019-03-05
AC0254,CU0393,Current,491772.88,2018-04-12
AC0255,CU0385,Savings,407299.51,2024-12-22
AC0256,CU0209,Current,338179.64,2019-01-15
AC0257,CU0130,Current,44136.33,2024-12-03
AC0258,CU0184,Savings,167069.23,2022-03-28
AC0259,CU0277,Current,225933.6,2024-08-30
AC0260,CU0176,Savings,444980.71,2020-09-05
AC0261,CU0277,Savings,299797.48,2022-02-04
AC0262,CU0294,Savings,425697.83,2016-07-25
AC0263,CU0203,Savings,412518.07,2015-12-01
AC0264,CU0257,Current,440480.78,2021-02-06
AC0265,CU0295,Savings,260264.85,2015-01-17
AC0266,CU0341,Savings,467318.13,2016-11-05
AC0267,CU0172,Savings,342321.33,2020-06-26
AC0268,CU0192,Savings,163418.16,2021-02-24
AC0269,CU0202,Current,262037.39,2017-06-16
AC0270,CU0353,Current,375163.33,2023-06-06
AC0271,CU0330,Savings,113681.59,2020-02-02
AC0272,CU0386,Savings,417340.29,2017-02-10
AC0273,CU0259,Savings,446698.58,2023-12-21
AC0274,CU0037,Savings,248106.25,2022-10-17
AC0275,CU0208,Savings,121674.84,2018-05-25
AC0276,CU0050,Savings,271441.47,2024-02-19
AC0277,CU0016,Savings,12729.3,2018-04-26
AC0278,CU0398,Savings,104336.61,2022-08-19
AC0279,CU0232,Savings,34443.9,2016-05-02
AC0280,CU0339,Current,472492.43,2019-07-09
AC0281,CU0154,Savings,349211.44,2018-11-06
AC0282,CU0156,Current,188083.05,2019-10-22
AC0283,CU0304,Current,317974.58,2015-06-21
AC0284,CU0256,Current,488529.72,2018-08-02
AC0285,CU0359,Current,16489.12,2020-04-23
AC0286,CU0395,Current,376706.06,2016-02-06
AC0287,CU0318,Current,344606.98,2024-11-16
AC0288,CU0351,Current,474612.03,2020-07-01
AC0289,CU0250,Savings,190603.68,2023-07-07
AC0290,CU0279,Savings,237961.02,2016-01-13
AC0291,CU0367,Savings,123449.37,2022-01-29
AC0292,CU0384,Savings,227888.41,2018-10-13
AC0293,CU0241,Savings,302200.76,2015-05-21
AC0294,CU0398,Current,155596.98,2022-11-23
AC0295,CU0211,Current,109061.12,2016-01-24
AC0296,CU0304,Savings,342228.07,2024-09-03
AC0297,CU0228,Savings,467833.55,2015-10-11
AC0298,CU0290,Fixed Deposit,622008.18,2019-05-09
AC0299,CU0300,Fixed Deposit,192558.27,2016-04-26
AC0300,CU0151,Fixed Deposit,1814297.32,2024-07-28
AC0301,CU0308,Savings,20868.43,2018-09-19
AC0302,CU0080,Current,55727.61,2024-05-22
AC0303,CU0249,Savings,100362.42,2017-10-17
AC0304,CU0382,Savings,194264.54,2024-01-18
AC0305,CU0023,Savings,386458.87,2018-05-23
AC0306,CU0350,Savings,112487.9,2021-07-18
AC0307,CU0228,Current,115137.53,2024-01-25
AC0308,CU0072,Savings,51667.32,2016-06-24
AC0309,CU0188,Savings,219610.55,2023-11-28
AC0310,CU0269,Current,11248.26,2022-10-12
AC0311,CU0055,Current,317781.17,2019-09-11
AC0312,CU0224,Current,17734.89,2021-04-01
AC0313,CU0045,Current,34402.34,2017-12-12
AC0314,CU0260,Current,237838.13,2017-09-23
AC0315,CU0083,Savings,61384.43,2015-12-20
AC0316,CU0229,Savings,332655.83,2022-05-26
AC0317,CU0035,Fixed Deposit,599712.7,2023-11-10
AC0318,CU0060,Savings,291478.14,2021-04-11
AC0319,CU0076,Savings,116891.9,2018-05-15
AC0320,CU0201,Savings,373574.43,2015-02-15
AC0321,CU0007,Current,30937.0,2016-04-06
AC0322,CU0005,Fixed Deposit,1212588.42,2018-05-27
AC0323,CU0125,Savings,160445.07,2024-08-25
AC0324,CU0097,Current,400811.42,2022-06-12
AC0325,CU0110,Current,239659.44,2016-02-10
AC0326,CU0325,Savings,194540.91,2022-01-12
AC0327,CU0342,Fixed Deposit,234745.22,2016-06-04
AC0328,CU0245,Fixed Deposit,1544984.24,2020-10-03
AC0329,CU0127,Savings,283512.55,2022-01-11
AC0330,CU0186,Current,420045.7,2017-07-12
AC0331,CU0386,Savings,203789.34,2019-11-04
AC0332,CU0400,Savings,435463.69,2019-06-05
AC0333,CU0372,Savings,97110.24,2019-03-11
AC0334,CU0116,Current,225464.34,2023-05-25
AC0335,CU0261,Savings,240203.53,2024-12-19
AC0336,CU0387,Current,323374.44,2022-02-15
AC0337,CU0267,Savings,121428.96,2018-03-24
AC0338,CU0222,Current,386776.49,2021-09-22
AC0339,CU0288,Savings,209240.9,2015-12-14
AC0340,CU0021,Savings,386686.12,2019-02-22
AC0341,CU0238,Savings,197240.4,2022-04-17
AC0342,CU0275,Current,152444.95,2021-10-15
AC0343,CU0241,Current,459744.07,2020-09-25
AC0344,CU0353,Current,193660.83,2021-08-11
AC0345,CU0339,Fixed Deposit,1249889.15,2023-10-24
AC0346,CU0047,Savings,235194.72,2022-10-03
AC0347,CU0273,Current,487638.1,2020-10-18
AC0348,CU0138,Savings,126544.88,2018-01-16
AC0349,CU0117,Savings,297622.48,2018-07-06
AC0350,CU0290,Current,453701.6,2017-02-22
AC0351,CU0099,Current,486198.0,2024-04-05
AC0352,CU0211,Current,259318.21,2018-02-14
AC0353,CU0343,Savings,299282.49,2022-05-23
AC0354,CU0072,Savings,384388.71,2023-12-30
AC0355,CU0352,Savings,95793.06,2019-01-20
AC0356,CU0237,Fixed Deposit,488482.52,2021-07-10
AC0357,CU0150,Fixed Deposit,1476726.13,2022-02-28
AC0358,CU0325,Savings,103661.18,2024-04-24
AC0359,CU0332,Current,92355.84,2024-01-30
AC0360,CU0201,Current,188124.31,2020-06-06
AC0361,CU0236,Savings,466309.47,2021-01-10
AC0362,CU0311,Current,74023.62,2015-10-23
AC0363,CU0193,Savings,63090.21,2024-02-13
AC0364,CU0097,Fixed Deposit,106207.44,2024-02-08
AC0365,CU0233,Savings,463975.05,2021-03-05
AC0366,CU0216,Savings,256048.09,2017-03-26
AC0367,CU0219,Savings,26445.53,2022-01-16
AC0368,CU0244,Current,298040.62,2019-11-26
AC0369,CU0072,Current,157257.85,2017-01-11
AC0370,CU0028,Savings,181306.13,2015-06-18
AC0371,CU0281,Savings,139400.65,2021-01-01
AC0372,CU0050,Savings,64583.64,2023-05-02
AC0373,CU0339,Current,103241.48,2021-05-09
AC0374,CU0173,Savings,5918.19,2022-01-01
AC0375,CU0124,Savings,142809.86,2017-08-02
AC0376,CU0293,Savings,309537.64,2023-06-07
AC0377,CU0182,Savings,463997.92,2024-06-05
AC0378,CU0284,Savings,76699.75,2021-07-20
AC0379,CU0088,Current,381413.26,2024-01-14
AC0380,CU0316,Current,102367.46,2015-03-13
AC0381,CU0380,Savings,46497.7,2021-11-20
AC0382,CU0064,Savings,404965.62,2016-01-27
AC0383,CU0114,Savings,422845.75,2017-09-18
AC0384,CU0089,Current,305194.0,2017-06-21
AC0385,CU0123,Savings,54586.07,2022-07-12
AC0386,CU0308,Savings,218161.45,2024-07-11
AC0387,CU0119,Current,223636.44,2016-02-16
AC0388,CU0228,Savings,204858.77,2019-12-18
AC0389,CU0197,Savings,369843.03,2024-07-16
AC0390,CU0392,Current,12490.27,2018-01-17
AC0391,CU0252,Savings,441021.35,2019-11-24
AC0392,CU0260,Fixed Deposit,139360.03,2021-11-26
AC0393,CU0311,Current,419271.26,2017-04-21
AC0394,CU0040,Current,73113.35,2021-09-27
AC0395,CU0207,Current,85022.44,2017-04-28
AC0396,CU0208,Savings,157791.68,2018-01-27
AC0397,CU0119,Savings,357751.96,2019-04-04
AC0398,CU0352,Current,480366.88,2021-04-26
AC0399,CU0034,Savings,323093.15,2020-01-27
AC0400,CU0177,Savings,195046.07,2019-01-12
AC0401,CU0224,Current,11226.57,2023-02-14
AC0402,CU0046,Current,454684.83,2019-11-27
AC0403,CU0138,Savings,174766.8,2019-02-10
AC0404,CU0087,Savings,239786.84,2017-06-16
AC0405,CU0019,Fixed Deposit,1639270.09,2019-04-12
AC0406,CU0118,Current,24941.28,2016-01-04
AC0407,CU0357,Savings,47096.01,2021-03-14
AC0408,CU0269,Savings,125945.17,2017-11-11
AC0409,CU0073,Current,75365.64,2024-08-17
AC0410,CU0096,Current,139978.22,2017-07-27
AC0411,CU0267,Current,156487.58,2015-10-01
AC0412,CU0318,Savings,436033.24,2015-08-02
AC0413,CU0241,Savings,144833.25,2019-09-30
AC0414,CU0101,Savings,118886.37,2021-10-04
AC0415,CU0052,Savings,34623.67,2018-01-07
AC0416,CU0399,Savings,267442.71,2020-03-09
AC0417,CU0079,Fixed Deposit,1474096.14,2020-12-25
AC0418,CU0005,Savings,123577.62,2018-08-26
AC0419,CU0263,Savings,383408.47,2024-02-14
AC0420,CU0030,Savings,250955.63,2019-06-02
AC0421,CU0241,Savings,84333.63,2016-09-30
AC0422,CU0312,Savings,121720.86,2024-05-10
AC0423,CU0143,Current,287358.39,2020-03-09
AC0424,CU0364,Savings,228017.13,2016-03-26
AC0425,CU0311,Savings,81881.36,2023-06-18
AC0426,CU0194,Savings,34469.94,2016-07-10
AC0427,CU0271,Savings,144314.05,2023-12-17
AC0428,CU0203,Current,339085.18,2021-03-04
AC0429,CU0239,Fixed Deposit,1788706.13,2022-04-05
AC0430,CU0368,Fixed Deposit,1250482.61,2024-05-23
AC0431,CU0269,Current,376064.0,2019-07-28
AC0432,CU0256,Savings,252073.12,2016-06-01
AC0433,CU0308,Savings,104239.61,2019-02-14
AC0434,CU0212,Savings,58652.56,2019-04-17
AC0435,CU0013,Current,150459.46,2018-07-12
AC0436,CU0009,Current,100152.72,2017-06-01
AC0437,CU0385,Current,387760.96,2016-08-25
AC0438,CU0389,Current,432733.39,2023-05-27
AC0439,CU0155,Savings,324886.59,2019-06-12
AC0440,CU0117,Savings,72015.35,2019-12-04
AC0441,CU0239,Savings,243901.14,2022-12-29
AC0442,CU0105,Current,186411.99,2020-03-12
AC0443,CU0027,Savings,208484.21,2017-10-02
AC0444,CU0052,Savings,448622.39,2018-04-25
AC0445,CU0239,Current,27506.55,2019-05-03
AC0446,CU0151,Current,39983.62,2018-12-24
AC0447,CU0246,Fixed Deposit,176996.39,2015-10-05
AC0448,CU0159,Current,166394.73,2020-09-06
AC0449,CU0052,Savings,6517.04,2016-08-20
AC0450,CU0112,Fixed Deposit,146898.67,2022-01-27
AC0451,CU0172,Fixed Deposit,951881.45,2023-12-15
AC0452,CU0168,Current,174115.95,2018-03-13
AC0453,CU0265,Current,26407.26,2021-07-26
AC0454,CU0389,Savings,441882.98,2020-06-19
AC0455,CU0019,Current,382056.18,2022-06-22
AC0456,CU0035,Fixed Deposit,1176066.09,2016-09-20
AC0457,CU0366,Current,165745.88,2019-12-07
AC0458,CU0391,Savings,72831.79,2017-03-15
AC0459,CU0142,Savings,308820.3,2019-06-04
AC0460,CU0156,Savings,21903.93,2015-02-19
AC0461,CU0292,Savings,98052.23,2017-03-04
AC0462,CU0078,Current,399936.36,2019-10-15
AC0463,CU0108,Fixed Deposit,1981809.96,2015-01-03
AC0464,CU0020,Savings,82532.33,2017-12-23
AC0465,CU0113,Current,393719.06,2020-04-02
AC0466,CU0253,Savings,462486.07,2016-04-12
AC0467,CU0176,Savings,335039.15,2021-12-01
AC0468,CU0133,Current,425446.32,2021-06-21
AC0469,CU0380,Fixed Deposit,1812519.26,2018-09-16
AC0470,CU0342,Current,263827.87,2022-08-25
AC0471,CU0399,Fixed Deposit,1631759.02,2017-10-01
AC0472,CU0223,Savings,407651.0,2020-06-02
AC0473,CU0261,Savings,164748.66,2018-05-16
AC0474,CU0208,Current,486407.81,2015-07-30
AC0475,CU0132,Savings,401035.23,2016-03-12
AC0476,CU0113,Savings,277952.03,2024-11-16
AC0477,CU0079,Savings,232709.44,2016-02-08
AC0478,CU0205,Fixed Deposit,884025.55,2019-09-14
AC0479,CU0125,Current,150243.18,2016-10-27
AC0480,CU0340,Current,474297.32,2015-09-29
AC0481,CU0030,Current,463136.13,2019-11-20
AC0482,CU0079,Current,407715.36,2019-08-24
AC0483,CU0171,Current,489200.95,2019-02-26
AC0484,CU0250,Savings,154695.7,2024-11-09
AC0485,CU0203,Current,463989.92,2021-08-07
AC0486,CU0121,Savings,203253.53,2018-03-19
AC0487,CU0085,Savings,305675.79,2018-10-08
AC0488,CU0304,Savings,299393.1,2019-03-24
AC0489,CU0043,Savings,51229.26,2023-12-06
AC0490,CU0220,Savings,75873.08,2020-07-10
AC0491,CU0358,Savings,467252.75,2022-04-08
AC0492,CU0002,Savings,495926.8,2020-04-14
AC0493,CU0150,Savings,17309.63,2024-06-17
AC0494,CU0359,Current,339691.12,2019-01-03
AC0495,CU0159,Savings,21174.49,2018-09-14
AC0496,CU0299,Savings,20432.18,2015-12-04
AC0497,CU0099,Savings,307567.31,2023-11-08
AC0498,CU0252,Savings,448631.01,2016-03-16
AC0499,CU0316,Savings,297091.71,2024-05-20
AC0500,CU0071,Fixed Deposit,1264200.23,2015-09-24
